"";"Občina";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2."
"277";"Cankova";2006;"1.5";109
"278";"Cankova";2007;"3.0";122
"279";"Cankova";2008;"1.5";88
"280";"Cankova";2009;"1.6";137
"281";"Cankova";2010;"2.6";84
"282";"Cankova";2011;"0.5";122
"283";"Cankova";2012;"2.1";238
"284";"Cankova";2013;"1.1";152
"285";"Cankova";2014;"0.5";17
"286";"Cankova";2015;"0.5";56
"287";"Cankova";2016;"2.8";119
"288";"Cankova";2017;"2.8";88
"289";"Celje";2017;NA;NA
"290";"Celje";2002;"0.8";112
"291";"Celje";2003;"0.5";164
"292";"Celje";2004;"0.3";130
"293";"Celje";2005;"0.7";149
"294";"Celje";2006;"1.2";122
"295";"Celje";2007;"1.8";132
"296";"Celje";2008;"0.7";208
"297";"Celje";2009;"2.6";95
"298";"Celje";2010;"1.2";183
"299";"Celje";2011;"0.9";198
"300";"Celje";2012;"0.4";185
"301";"Celje";2013;"0.5";180
"302";"Celje";2014;"0.4";172
"303";"Celje";2015;"0.4";148
"304";"Celje";2016;"0.5";167
"305";"Celje";2017;"0.6";110
"306";"Cerklje na Gorenjskem";2017;NA;NA
"307";"Cerklje na Gorenjskem";2002;"5.2";127
"308";"Cerklje na Gorenjskem";2003;"4.0";117
"309";"Cerklje na Gorenjskem";2004;"4.6";155
"310";"Cerklje na Gorenjskem";2005;"3.5";188
"311";"Cerklje na Gorenjskem";2006;"4.8";174
"312";"Cerklje na Gorenjskem";2007;"12.8";95
"313";"Cerklje na Gorenjskem";2008;"6.0";158
"314";"Cerklje na Gorenjskem";2009;"7.9";121
"315";"Cerklje na Gorenjskem";2010;"4.8";162
"316";"Cerklje na Gorenjskem";2011;"4.1";201
"317";"Cerklje na Gorenjskem";2012;"2.5";199
"318";"Cerklje na Gorenjskem";2013;"1.2";187
"319";"Cerklje na Gorenjskem";2014;"5.0";98
"320";"Cerklje na Gorenjskem";2015;"1.4";184
"321";"Cerklje na Gorenjskem";2016;"2.5";97
"322";"Cerklje na Gorenjskem";2017;"1.1";103
"323";"Cerknica";2017;NA;NA
"324";"Cerknica";2002;"2.4";105
"325";"Cerknica";2003;"1.5";143
"326";"Cerknica";2004;"1.9";143
"327";"Cerknica";2005;"4.5";128
"328";"Cerknica";2006;"2.0";212
"329";"Cerknica";2007;"3.3";189
"330";"Cerknica";2008;"4.7";126
"331";"Cerknica";2009;"2.9";183
"332";"Cerknica";2010;"2.9";200
"333";"Cerknica";2011;"2.7";179
"334";"Cerknica";2012;"2.6";199
"335";"Cerknica";2013;"1.7";190
"336";"Cerknica";2014;"2.1";179
"337";"Cerknica";2015;"1.3";203
"338";"Cerknica";2016;"1.3";198
