"Vrednost opravljenih gradbenih del po: INVESTITOR, KLASIFIKACIJA VRST"
"OBJEKTOV [CC-SI], LETO , MERITVE"

"Investitor";"Vrsta objekta";"Leto";"Tip gradbene aktivnosti - SKUPAJ";"Novogradnja";"Poveèava";"Rekonstrukcija in sprememba namembnosti";"Investicijska vzdrževalna dela";"Redna vzdrževalna dela"
"Investitor - SKUPAJ"
" ";"CC_SI - SKUPAJ"
" ";" ";"2013";1246020;z;-;z;-;z
" ";" ";"2014";z;z;-;-;-;-
" ";" ";"2015";z;z;z;-;-;z
" ";" ";"2016";360856;z;-;-;-;z
" ";" ";"2017";97432;67491;-;-;-;29941
" ";"122 Poslovne in upravne stavbe"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";444092;z;-;z;214776;-
" ";" ";"2012";560801;323934;z;z;-;69963
" ";" ";"2013";1162528;z;-;z;-;z
" ";" ";"2014";815012;z;-;76782;z;z
" ";" ";"2015";159393;57315;z;z;-;65814
" ";" ";"2016";2061176;z;z;62213;-;z
" ";" ";"2017";5285885;4592514;z;z;-;292566
" ";"1220 Poslovne in upravne stavbe"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";444092;z;-;z;214776;-
" ";" ";"2012";560801;323934;z;z;-;69963
" ";" ";"2013";1162528;z;-;z;-;z
" ";" ";"2014";815012;z;-;76782;z;z
" ";" ";"2015";159393;57315;z;z;-;65814
" ";" ";"2016";2061176;z;z;62213;-;z
" ";" ";"2017";5285885;4592514;z;z;-;292566
" ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti"
" ";" ";"2010";z;z;z;z;-;6096
" ";" ";"2011";z;213794;-;-;z;z
" ";" ";"2012";1681134;1601934;z;35558;z;36968
" ";" ";"2013";567668;470439;-;z;-;z
" ";" ";"2014";280821;102321;z;114413;-;z
" ";" ";"2015";1033675;465421;z;446603;z;24782
" ";" ";"2016";192483;97121;-;26497;-;68865
" ";" ";"2017";322306;66804;110411;36113;-;108977
" ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti"
" ";" ";"2010";z;z;z;z;-;6096
" ";" ";"2011";z;213794;-;-;z;z
" ";" ";"2012";1681134;1601934;z;35558;z;36968
" ";" ";"2013";567668;470439;-;z;-;z
" ";" ";"2014";280821;102321;z;114413;-;z
" ";" ";"2015";1033675;465421;z;446603;z;24782
" ";" ";"2016";192483;97121;-;26497;-;68865
" ";" ";"2017";322306;66804;110411;36113;-;108977
" ";"124 Stavbe za promet in stavbe za izvajanje komunikacij"
" ";" ";"2010";748558;z;-;z;z;-
" ";" ";"2011";z;z;z;-;z;z
" ";" ";"2012";495611;z;z;79611;-;30444
" ";" ";"2013";z;z;-;z;-;22165
" ";" ";"2014";1012889;z;z;z;-;51376
" ";" ";"2015";1465414;986129;-;117206;-;362079
" ";" ";"2016";1349833;1112587;z;51833;z;136599
" ";" ";"2017";z;z;z;37127;-;z
" ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"1242 Garažne stavbe"
" ";" ";"2010";748558;z;-;z;z;-
" ";" ";"2011";z;z;z;-;z;z
" ";" ";"2012";495611;z;z;79611;-;30444
" ";" ";"2013";z;z;-;z;-;22165
" ";" ";"2014";1012889;z;z;z;-;51376
" ";" ";"2015";1465414;986129;-;117206;-;362079
" ";" ";"2016";1349833;1112587;z;51833;z;136599
" ";" ";"2017";z;z;z;37127;-;z
" ";"125 Industrijske stavbe in skladišèa"
" ";" ";"2010";1873547;1414462;z;z;z;-
" ";" ";"2011";1784161;1393543;-;z;z;z
" ";" ";"2012";141353;122491;-;z;-;z
" ";" ";"2013";470786;z;z;-;-;z
" ";" ";"2014";z;-;-;-;-;z
" ";" ";"2015";713543;628974;z;z;-;59279
" ";" ";"2016";558911;z;z;-;-;z
" ";" ";"2017";z;z;-;-;-;z
" ";"1251 Industrijske stavbe"
" ";" ";"2010";1378503;919419;z;z;z;-
" ";" ";"2011";1744376;z;-;z;z;z
" ";" ";"2012";z;z;-;z;-;-
" ";" ";"2013";z;-;z;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";213748;139438;z;z;-;z
" ";" ";"2016";404783;z;z;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"1252 Rezervoarji, silosi in skladišèa"
" ";" ";"2010";495044;495044;-;-;-;-
" ";" ";"2011";39785;z;-;z;z;-
" ";" ";"2012";z;z;-;-;-;z
" ";" ";"2013";z;z;z;-;-;z
" ";" ";"2014";z;-;-;-;-;z
" ";" ";"2015";499795;489535;-;z;-;z
" ";" ";"2016";154128;z;-;-;-;z
" ";" ";"2017";z;z;-;-;-;z
" ";"126 Stavbe splošnega družbenega pomena"
" ";" ";"2010";z;-;z;-;z;z
" ";" ";"2011";z;z;-;z;z;-
" ";" ";"2012";342018;z;-;z;-;247236
" ";" ";"2013";z;z;-;-;-;z
" ";" ";"2014";z;z;-;z;-;-
" ";" ";"2015";z;-;z;z;-;z
" ";" ";"2016";141516;-;-;129859;-;11657
" ";" ";"2017";245310;z;-;z;-;z
" ";"1261 Stavbe za kulturo in razvedrilo"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";z;-;-;-;z;-
" ";" ";"2012";z;-;-;-;-;z
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";26126;z;-;-;-;z
" ";"1262 Muzeji in knjižnice"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"1263 Stavbe za izobraževanje in znanstvenoraziskovalno delo"
" ";" ";"2010";z;-;-;-;z;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";184451;z;-;z;-;z
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";z;-;-;-;-;z
" ";" ";"2016";52207;-;-;z;-;z
" ";" ";"2017";16900;-;-;-;-;16900
" ";"1264 Stavbe za zdravstveno oskrbo"
" ";" ";"2010";z;-;z;-;-;z
" ";" ";"2011";z;-;-;z;-;-
" ";" ";"2012";z;-;-;-;-;z
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";z;-;-;z;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";z;-;-;z;-;z
" ";" ";"2017";202284;-;-;z;-;z
" ";"1265 Stavbe za šport"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";z;z;-;-;-;-
" ";" ";"2012";z;z;-;z;-;-
" ";" ";"2013";z;z;-;-;-;z
" ";" ";"2014";z;z;-;-;-;-
" ";" ";"2015";4461;-;z;z;-;-
" ";" ";"2016";z;-;-;-;-;z
" ";" ";"2017";-;-;-;-;-;-
" ";"127 Druge nestanovanjske stavbe"
" ";" ";"2010";3418785;z;z;z;176878;z
" ";" ";"2011";7463262;z;-;314159;z;74690
" ";" ";"2012";4325412;3638933;z;185980;z;242026
" ";" ";"2013";5784629;5061910;53517;267762;-;401440
" ";" ";"2014";6568969;5540243;z;z;z;637387
" ";" ";"2015";4865472;3744877;z;402120;z;z
" ";" ";"2016";4343644;2663889;z;1278840;z;z
" ";" ";"2017";13081330;8090175;174976;z;z;4324539
" ";"1271 Nestanovanjske kmetijske stavbe"
" ";" ";"2010";z;z;z;z;z;z
" ";" ";"2011";z;z;-;237069;z;z
" ";" ";"2012";3893754;3519927;z;134786;-;z
" ";" ";"2013";5256984;4605415;z;z;-;z
" ";" ";"2014";5398075;4562063;z;z;z;z
" ";" ";"2015";z;z;z;85193;z;z
" ";" ";"2016";z;z;z;z;z;z
" ";" ";"2017";z;7327093;174976;z;-;z
" ";"1272 Obredne stavbe"
" ";" ";"2010";z;-;-;z;-;-
" ";" ";"2011";z;-;-;-;-;z
" ";" ";"2012";52839;-;-;z;z;z
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";z;z;-;-;z;z
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";4817;z;-;z;-;-
" ";" ";"2017";z;-;-;-;z;z
" ";"1273 Kulturna dedišèina, ki se ne uporablja v druge namene"
" ";" ";"2010";z;-;-;-;z;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";z;z;-;-;-;-
" ";" ";"2015";z;z;-;-;-;-
" ";" ";"2016";z;-;-;-;-;z
" ";" ";"2017";-;-;-;-;-;-
" ";"1274 Druge stavbe, ki niso uvršèene drugje"
" ";" ";"2010";949743;z;z;z;z;z
" ";" ";"2011";4493470;409754;-;77090;4006626;-
" ";" ";"2012";378819;119006;z;z;-;82410
" ";" ";"2013";527645;456495;z;z;-;z
" ";" ";"2014";297307;137712;z;z;-;98115
" ";" ";"2015";988738;566110;z;316927;-;z
" ";" ";"2016";497087;133355;z;302193;-;z
" ";" ";"2017";1423758;763082;-;145866;-;514809
" ";"2 GRADBENI INŽENIRSKI OBJEKTI"
" ";" ";"2010";9709169;4667433;z;z;3808026;z
" ";" ";"2011";9012573;3233127;-;393755;4947164;438526
" ";" ";"2012";2753500;1081931;-;1315699;-;355870
" ";" ";"2013";7125771;4076923;z;z;-;1158648
" ";" ";"2014";4168668;1582184;z;z;-;1632133
" ";" ";"2015";6598091;2073122;-;2254099;-;2270871
" ";" ";"2016";6141133;3396300;-;1402182;-;1342652
" ";" ";"2017";9041665;4585390;18446;3702333;-;735496
" ";"21 Objekti prometne infrastrukture"
" ";" ";"2010";8506544;z;-;z;z;z
" ";" ";"2011";7349446;1970166;-;z;4678610;z
" ";" ";"2012";2584608;945131;-;1315699;-;323778
" ";" ";"2013";3243342;1294216;-;1436368;-;512759
" ";" ";"2014";z;z;z;869077;-;1529038
" ";" ";"2015";3736047;762513;-;1615320;-;1358214
" ";" ";"2016";2323354;527609;-;1229884;-;565861
" ";" ";"2017";6203122;1861436;18446;3675737;-;647503
" ";"211 Ceste"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";z;z;-;z;4678610;z
" ";" ";"2012";2584608;945131;-;1315699;-;323778
" ";" ";"2013";z;z;-;1436368;-;512759
" ";" ";"2014";z;z;z;869077;-;z
" ";" ";"2015";3633826;z;-;z;-;1324043
" ";" ";"2016";2323354;527609;-;1229884;-;565861
" ";" ";"2017";6061520;1719834;18446;3675737;-;647503
" ";"2111 Avtoceste, hitre ceste, glavne ceste in regionalne ceste"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2112 Lokalne ceste in javne poti, nekategorizirane ceste in gozdne ceste"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";z;z;-;z;4678610;z
" ";" ";"2012";2584608;945131;-;1315699;-;323778
" ";" ";"2013";z;z;-;1436368;-;512759
" ";" ";"2014";z;z;z;869077;-;z
" ";" ";"2015";3633826;z;-;z;-;1324043
" ";" ";"2016";2323354;527609;-;1229884;-;565861
" ";" ";"2017";6061520;1719834;18446;3675737;-;647503
" ";"212 Železniške proge"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2121 Glavne in regionalne železniške proge"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2122 Mestne železniške proge"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"213 Letališke steze"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2130 Letališke steze"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"214 Mostovi, viadukti, predori in podhodi"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";z;z;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2141 Mostovi in viadukti"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";z;z;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2142 Predori in podhodi"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"215 Pristanišèa, plovni kanali, jezovi in vodne pregrade ter drugi vodni objekti"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";z;z;-;-;-;-
" ";" ";"2014";z;z;-;-;-;z
" ";" ";"2015";102222;z;-;z;-;34171
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";141602;141602;-;-;-;-
" ";"2151 Pristanišèa in plovni kanali"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2152 Jezovi, vodne pregrade in drugi vodni objekti"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";z;z;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";22687;z;-;z;-;z
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2153 Sistemi za namakanje in osuševanje, akvadukti"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";z;z;-;-;-;-
" ";" ";"2014";z;z;-;-;-;z
" ";" ";"2015";79535;-;-;z;-;z
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";141602;141602;-;-;-;-
" ";"22 Cevovodi, komunikacijska omrežja in elektroenergetski vodi"
" ";" ";"2010";478293;z;-;-;z;z
" ";" ";"2011";z;z;-;z;z;-
" ";" ";"2012";z;z;-;-;-;32092
" ";" ";"2013";1381839;1188846;z;z;-;z
" ";" ";"2014";z;z;-;z;-;z
" ";" ";"2015";1438026;z;-;332247;-;z
" ";" ";"2016";1992833;1921098;-;-;-;71735
" ";" ";"2017";1627590;1531574;-;26596;-;69420
" ";"221 Daljinski cevovodi, daljinska [hrbtenièna] komunikacijska omrežja in daljinski [prenosni] elektroenergetski vodi"
" ";" ";"2010";z;z;-;-;-;z
" ";" ";"2011";z;z;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";z;z;-;-;-;-
" ";" ";"2014";z;z;-;-;-;-
" ";" ";"2015";z;z;-;-;-;-
" ";" ";"2016";149351;z;-;-;-;z
" ";" ";"2017";68151;68151;-;-;-;-
" ";"2211 Naftovodi in daljinski [prenosni] plinovodi"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2212 Daljinski vodovodi"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";z;z;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";z;z;-;-;-;-
" ";" ";"2014";z;z;-;-;-;-
" ";" ";"2015";z;z;-;-;-;-
" ";" ";"2016";149351;z;-;-;-;z
" ";" ";"2017";68151;68151;-;-;-;-
" ";"2213 Daljinska [hrbtenièna] komunikacijska omrežja"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2214 Daljinski [prenosni] elektroenergetski vodi"
" ";" ";"2010";z;-;-;-;-;z
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"222 Lokalni cevovodi, lokalni [distribucijski] elektroenergetski vodi in lokalna [dostopovna] komunikacijska omrežja"
" ";" ";"2010";z;z;-;-;z;z
" ";" ";"2011";z;z;-;z;z;-
" ";" ";"2012";z;z;-;-;-;32092
" ";" ";"2013";z;z;z;z;-;z
" ";" ";"2014";z;z;-;z;-;z
" ";" ";"2015";z;z;-;332247;-;z
" ";" ";"2016";1843482;z;-;-;-;z
" ";" ";"2017";1559439;1463423;-;26596;-;69420
" ";"2221 Lokalni [distribucijski] plinovodi"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";z;-;-;-;z;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";z;z;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2222 Lokalni vodovodi"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";z;-;-;z;z;-
" ";" ";"2012";z;z;-;-;-;z
" ";" ";"2013";z;31353;z;z;-;67990
" ";" ";"2014";127718;34419;-;z;-;z
" ";" ";"2015";73216;z;-;-;-;z
" ";" ";"2016";173355;z;-;-;-;z
" ";" ";"2017";374825;334929;-;26596;-;13300
" ";"2223 Cevovodi za odpadno vodo"
" ";" ";"2010";z;z;-;-;z;z
" ";" ";"2011";175002;z;-;z;z;-
" ";" ";"2012";95523;z;-;-;-;z
" ";" ";"2013";84991;37021;-;-;-;47970
" ";" ";"2014";333109;309048;-;z;-;z
" ";" ";"2015";622024;549783;-;z;-;z
" ";" ";"2016";1563163;1508290;-;-;-;54873
" ";" ";"2017";1146093;1089973;-;-;-;56120
" ";"2224 Lokalni [distribucijski] elektroenergetski vodi in lokalna [dostopovna] komunikacijska omrežja"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";z;z;-;-;9613;-
" ";" ";"2012";30315;z;-;-;-;z
" ";" ";"2013";1012055;z;-;z;-;z
" ";" ";"2014";z;z;-;-;-;z
" ";" ";"2015";718553;z;-;z;-;z
" ";" ";"2016";106963;106963;-;-;-;-
" ";" ";"2017";38522;38522;-;-;-;-
" ";"23 Industrijski gradbeni kompleksi"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";40109;z;-;-;-;z
" ";" ";"2014";z;-;-;-;-;z
" ";" ";"2015";26754;z;-;-;-;z
" ";" ";"2016";303236;z;-;-;-;z
" ";" ";"2017";1177404;1158831;-;-;-;18574
" ";"230 Industrijski gradbeni kompleksi"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";40109;z;-;-;-;z
" ";" ";"2014";z;-;-;-;-;z
" ";" ";"2015";26754;z;-;-;-;z
" ";" ";"2016";303236;z;-;-;-;z
" ";" ";"2017";1177404;1158831;-;-;-;18574
" ";"2301 Objekti za pridobivanje in izkorišèanje mineralnih surovin"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2302 Elektrarne in drugi energetski objekti"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";40109;z;-;-;-;z
" ";" ";"2014";z;-;-;-;-;z
" ";" ";"2015";26754;z;-;-;-;z
" ";" ";"2016";303236;z;-;-;-;z
" ";" ";"2017";1177404;1158831;-;-;-;18574
" ";"2303 Objekti kemiène industrije"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"2304 Drugi industrijski gradbeni kompleksi, ki niso uvršèeni drugje"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";-;-;-;-;-;-
" ";"24 Drugi gradbeni inženirski objekti"
" ";" ";"2010";z;z;z;z;z;z
" ";" ";"2011";z;z;-;z;z;z
" ";" ";"2012";z;z;-;-;-;-
" ";" ";"2013";2460481;z;z;z;-;508428
" ";" ";"2014";z;z;-;z;-;-
" ";" ";"2015";1397264;z;-;306531;-;z
" ";" ";"2016";1521710;z;-;172298;-;z
" ";" ";"2017";33550;33550;-;-;-;-
" ";"241 Objekti za šport, rekreacijo in prosti èas"
" ";" ";"2010";z;-;-;z;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";z;z;-;z;-;-
" ";" ";"2015";40425;-;-;40425;-;-
" ";" ";"2016";216101;z;-;-;-;z
" ";" ";"2017";z;z;-;-;-;-
" ";"2411 Športna igrišèa"
" ";" ";"2010";-;-;-;-;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";40425;-;-;40425;-;-
" ";" ";"2016";216101;z;-;-;-;z
" ";" ";"2017";-;-;-;-;-;-
" ";"2412 Drugi gradbeni inženirski objekti za šport, rekreacijo in prosti èas"
" ";" ";"2010";z;-;-;z;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";-;-;-;-;-;-
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";z;z;-;z;-;-
" ";" ";"2015";-;-;-;-;-;-
" ";" ";"2016";-;-;-;-;-;-
" ";" ";"2017";z;z;-;-;-;-
" ";"242 Drugi gradbeni inženirski objekti"
" ";" ";"2010";669836;z;z;z;z;z
" ";" ";"2011";z;z;-;z;z;z
" ";" ";"2012";z;z;-;-;-;-
" ";" ";"2013";2460481;z;z;z;-;508428
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";1356839;z;-;266106;-;z
" ";" ";"2016";1305609;465099;-;172298;-;668211
" ";" ";"2017";z;z;-;-;-;-
" ";"2420 Drugi gradbeni inženirski objekti"
" ";" ";"2010";669836;z;z;z;z;z
" ";" ";"2011";z;z;-;z;z;z
" ";" ";"2012";z;z;-;-;-;-
" ";" ";"2013";2460481;z;z;z;-;508428
" ";" ";"2014";-;-;-;-;-;-
" ";" ";"2015";1356839;z;-;266106;-;z
" ";" ";"2016";1305609;465099;-;172298;-;668211
" ";" ";"2017";z;z;-;-;-;-

"Enota:EUR "
" "
"Vir: Statistièni urad Republike Slovenije. "
" "
"Podatki so uteženi. "
" "
"Nekateri seštevki se zaradi zaokroževanja ne ujemajo. "
" "
"Klasifikacija vrst objektov je bila sprejeta z Uredbo o klasifikaciji "
"vrst objektov in objektih državnega pomena [Uradni list RS, št. "
"109/2011]. "

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8189"
"target=_blank) Metodološka pojasnila "

