"Vrednost opravljenih gradbenih del po: INVESTITOR, KLASIFIKACIJA VRST"
"OBJEKTOV [CC-SI], LETO , MERITVE"

"Investitor";"Vrsta objekta";"Leto";"Tip gradbene aktivnosti - SKUPAJ";"Novogradnja";"Poveèava";"Rekonstrukcija in sprememba namembnosti";"Investicijska vzdrževalna dela";"Redna vzdrževalna dela"
"Investitor - SKUPAJ"
" ";"CC_SI - SKUPAJ"
" ";" ";"2014";55391907;29254237;236705;13013007;291083;12596875
" ";" ";"2015";80286654;43179839;2290398;18625716;346430;15844269
" ";" ";"2016";90373201;50438877;4811945;22809757;268590;12044033
" ";" ";"2017";129747199;85459899;3109514;25172136;829469;15176180
" ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti"
" ";" ";"2010";315199532;273603546;5874734;23339360;8537208;3844683
" ";" ";"2011";136759632;107795580;1522723;8735508;11695910;7009912
" ";" ";"2012";122452961;93037506;z;14453341;z;14639713
" ";" ";"2013";70560904;44722176;z;11216556;z;13807478
" ";" ";"2014";55391907;29254237;236705;13013007;291083;12596875
" ";" ";"2015";80286654;43179839;2290398;18625716;346430;15844269
" ";" ";"2016";90373201;50438877;4811945;22809757;268590;12044033
" ";" ";"2017";129747199;85459899;3109514;25172136;829469;15176180
" ";"124 Stavbe za promet in stavbe za izvajanje komunikacij"
" ";" ";"2010";107329234;97485718;z;z;z;5187627
" ";" ";"2011";32074485;z;z;984857;2073118;z
" ";" ";"2012";13560094;4812661;z;z;-;6596690
" ";" ";"2013";8112864;z;-;z;z;5327280
" ";" ";"2014";10158544;z;21260;378358;z;5310558
" ";" ";"2015";9972751;4283609;z;804913;z;4833877
" ";" ";"2016";7077108;3371364;z;109198;z;3515267
" ";" ";"2017";8971889;4341451;z;z;-;z
" ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe"
" ";" ";"2010";16680871;8659068;z;z;1425515;5187627
" ";" ";"2011";15305364;7479144;-;z;z;4956211
" ";" ";"2012";9707355;1843726;-;1338204;-;6525425
" ";" ";"2013";6719046;z;-;z;z;5157623
" ";" ";"2014";5461918;z;-;z;z;4659042
" ";" ";"2015";5987349;1281269;z;z;z;4308719
" ";" ";"2016";3376728;221916;-;20928;-;3133884
" ";" ";"2017";4881187;z;z;z;-;z
" ";"1242 Garažne stavbe"
" ";" ";"2010";90648363;88826650;z;z;z;-
" ";" ";"2011";16769121;z;z;z;z;z
" ";" ";"2012";3852739;2968935;z;z;-;71265
" ";" ";"2013";1393818;1157184;-;66976;-;169657
" ";" ";"2014";4696626;z;21260;z;-;651516
" ";" ";"2015";3985402;3002340;z;z;-;525158
" ";" ";"2016";3700380;3149448;z;88270;z;381384
" ";" ";"2017";4090702;z;z;175121;-;z
" ";"125 Industrijske stavbe in skladišèa"
" ";" ";"2010";93563137;62729723;4536926;5364220;13434502;7497766
" ";" ";"2011";111377651;74913019;919364;16440318;14954783;4150168
" ";" ";"2012";110771135;79197132;z;z;487460;19716800
" ";" ";"2013";121978841;91104970;z;10622295;790690;z
" ";" ";"2014";z;61724615;692799;5670226;613457;z
" ";" ";"2015";109447319;65823934;5276404;17263484;399356;20684141
" ";" ";"2016";127249059;84704833;2888240;9624346;2922612;27109027
" ";" ";"2017";199537568;z;6041166;16126322;510654;z
" ";"1251 Industrijske stavbe"
" ";" ";"2010";85505801;56589455;3776752;5160516;12604309;7374770
" ";" ";"2011";106211311;72335763;z;z;12804340;3939923
" ";" ";"2012";106146911;76429349;z;z;487460;18852991
" ";" ";"2013";115969077;85913853;z;z;790690;17976641
" ";" ";"2014";81950957;58094482;692799;z;z;z
" ";" ";"2015";96556028;56451396;5129089;14294108;399356;20282078
" ";" ";"2016";119451318;78730507;z;8589920;z;26492638
" ";" ";"2017";181655605;123954933;5246635;15091415;510654;36851967
" ";"1252 Rezervoarji, silosi in skladišèa"
" ";" ";"2010";8057336;6140268;760174;203704;830193;122996
" ";" ";"2011";5166340;2577255;z;z;2150443;210245
" ";" ";"2012";4624224;2767782;z;z;-;863809
" ";" ";"2013";6009765;5191118;z;z;-;z
" ";" ";"2014";z;3630133;-;z;z;z
" ";" ";"2015";12891290;9372538;147315;2969375;-;402063
" ";" ";"2016";7797740;5974326;z;1034426;z;616389
" ";" ";"2017";17881963;z;794531;1034908;-;z
" ";"126 Stavbe splošnega družbenega pomena"
" ";" ";"2010";250791839;182565940;9333157;35523427;21951646;1417668
" ";" ";"2011";190789284;113553182;9165768;30861980;31746157;5462199
" ";" ";"2012";178092684;105359901;1775365;34356253;200078;36401087
" ";" ";"2013";176983071;z;6084557;35636669;4869747;z
" ";" ";"2014";z;z;7357749;z;4755320;41344243
" ";" ";"2015";147644575;80245819;3979535;39623060;782634;23013527
" ";" ";"2016";73243342;26164933;5380969;21259966;674400;19763074
" ";" ";"2017";107878286;z;z;z;1044237;30833660
" ";"1261 Stavbe za kulturo in razvedrilo"
" ";" ";"2010";20680699;5999386;z;z;4016512;29592
