"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"134";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2008;749;281115
"135";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2009;571;253084
"136";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2010;538;241779
"137";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2011;482;169282
"138";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2012;429;165613
"139";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2013;438;138764
"140";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2014;364;102104
"141";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2015;666;142144
"142";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2016;982;213831
"143";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2017;976;204284
"144";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2007;592;210803
"145";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2008;598;160528
"146";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2009;463;163361
"147";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2010;416;133570
"148";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2011;372;106146
"149";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2012;334;112377
"150";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2013;332;77033
"151";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2014;284;66333
"152";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2015;309;68732
"153";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2016;306;71924
"154";"Investitor - SKUPAJ";"Savinjska";"Stanovanjske stavbe";2017;330;77191
"155";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2007;160;251681
"156";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2008;151;120587
"157";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2009;108;89723
"158";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2010;122;108209
"159";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2011;110;63136
"160";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2012;95;53236
"161";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2013;106;61731
