"";"Regija";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2.";"Delež.dokončanih.novogradenj....";"Delež.dokončanih.stanovanj...."
"154";"Gorenjska";2011;"2.apr";153;97,6;"41.2"
"155";"Gorenjska";2012;"1.avg";165;99,7;"31.jul"
"156";"Gorenjska";2013;"2.mar";129;97,8;"43.0"
"157";"Gorenjska";2014;"1.apr";166;85,1;"35.2"
"158";"Gorenjska";2015;"1.feb";174;97,2;"32.0"
"159";"Gorenjska";2016;"1.feb";163;93,2;"42.5"
"160";"Gorenjska";2017;"1.maj";131;91,8;"62.8"
"161";"Primorsko-notranjska";2002;"3.mar";114;91,6;NA
"162";"Primorsko-notranjska";2003;"3.jan";112;88,8;NA
"163";"Primorsko-notranjska";2004;"2.avg";123;77,1;NA
"164";"Primorsko-notranjska";2005;"3.mar";124;74;NA
"165";"Primorsko-notranjska";2006;"2.apr";157;90,4;NA
"166";"Primorsko-notranjska";2007;"3.jan";141;95,1;NA
"167";"Primorsko-notranjska";2008;"6.sep";92;98,1;"51.8"
"168";"Primorsko-notranjska";2009;"3.maj";130;92,9;"35.3"
"169";"Primorsko-notranjska";2010;"3.mar";141;97,7;"32.0"
"170";"Primorsko-notranjska";2011;"3.maj";121;98,4;"42.0"
"171";"Primorsko-notranjska";2012;"2.mar";172;92,5;"35.9"
"172";"Primorsko-notranjska";2013;"2.jan";164;99,1;"39.9"
"173";"Primorsko-notranjska";2014;"1.maj";158;84,8;"35.7"
"174";"Primorsko-notranjska";2015;"1.jun";159;91,9;"37.4"
"175";"Primorsko-notranjska";2016;"1.feb";154;96,7;"39.9"
"176";"Primorsko-notranjska";2017;"1.feb";156;80,3;"52.1"
"177";"Goriška";2002;"3.jul";140;92,4;NA
"178";"Goriška";2003;"4.jan";121;87,4;NA
"179";"Goriška";2004;"4.0";132;92,5;NA
"180";"Goriška";2005;"2.apr";139;94,7;NA
"181";"Goriška";2006;"3.apr";125;98;NA
"182";"Goriška";2007;"3.maj";116;88,7;NA
"183";"Goriška";2008;"4.mar";100;84,6;"35.3"
"184";"Goriška";2009;"5.jun";97;98,3;"50.4"
"185";"Goriška";2010;"3.feb";123;95,3;"44.6"
"186";"Goriška";2011;"2.0";150;96,3;"32.8"
"187";"Goriška";2012;"2.apr";139;99,3;"42.6"
"188";"Goriška";2013;"1.jun";150;95,7;"31.maj"
"189";"Goriška";2014;"1.maj";164;83,7;"30.apr"
"190";"Goriška";2015;"1.jun";150;94,6;"30.avg"
"191";"Goriška";2016;"1.sep";152;90,1;"47.5"
"192";"Goriška";2017;"1.maj";169;93,2;"59.6"
"193";"Obalno-kraška";2002;"3.feb";100;92,1;NA
"194";"Obalno-kraška";2003;"2.jun";96;83,9;NA
"195";"Obalno-kraška";2004;"5.jul";81;94,6;NA
"196";"Obalno-kraška";2005;"8.jun";84;95,8;NA
"197";"Obalno-kraška";2006;"7.jan";91;97,2;NA
"198";"Obalno-kraška";2007;"8.mar";93;98;NA
"199";"Obalno-kraška";2008;"7.mar";95;99,2;"44.9"
"200";"Obalno-kraška";2009;"7.feb";98;99,5;"59.8"
"201";"Obalno-kraška";2010;"3.0";130;96,1;"38.8"
"202";"Obalno-kraška";2011;"3.jan";109;98,6;"34.2"
"203";"Obalno-kraška";2012;"4.avg";82;99,8;"66.5"
"204";"Obalno-kraška";2013;"1.jun";147;96;"45.4"
"205";"Obalno-kraška";2014;"1.0";159;73,7;"36.2"
"206";"Obalno-kraška";2015;"1.jan";135;98,4;"29.jul"
"207";"Obalno-kraška";2016;"1.sep";126;89,4;"63.7"
"208";"Obalno-kraška";2017;"0.9";142;87,6;"57.4"
