"";"Investitor";"Vrsta.objekta";"Leto";"Tip.gradbene.aktivnosti...SKUPAJ";"Novogradnja";"Povečava";"Rekonstrukcija.in.sprememba.namembnosti";"Investicijska.vzdrževalna.dela";"Redna.vzdrževalna.dela"
"139";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2012;"122452961";"93037506";"z";"14453341";"z";"14639713"
"140";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2013;"70560904";"44722176";"z";"11216556";"z";"13807478"
"141";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2014;"55391907";"29254237";"236705";"13013007";"291083";"12596875"
"142";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2015;"80286654";"43179839";"2290398";"18625716";"346430";"15844269"
"143";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2016;"90373201";"50438877";"4811945";"22809757";"268590";"12044033"
"144";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2017;"129747199";"85459899";"3109514";"25172136";"829469";"15176180"
"145";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2010;"107329234";"97485718";"z";"z";"z";"5187627"
"146";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2011;"32074485";"z";"z";"984857";"2073118";"z"
"147";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2012;"13560094";"4812661";"z";"z";NA;"6596690"
"148";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2013;"8112864";"z";NA;"z";"z";"5327280"
"149";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2014;"10158544";"z";"21260";"378358";"z";"5310558"
"150";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2015;"9972751";"4283609";"z";"804913";"z";"4833877"
"151";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2016;"7077108";"3371364";"z";"109198";"z";"3515267"
"152";"Investitor - SKUPAJ";"124 Stavbe za promet in stavbe za izvajanje komunikacij";2017;"8971889";"4341451";"z";"z";NA;"z"
"153";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2010;"16680871";"8659068";"z";"z";"1425515";"5187627"
"154";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2011;"15305364";"7479144";NA;"z";"z";"4956211"
"155";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2012;"9707355";"1843726";NA;"1338204";NA;"6525425"
"156";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2013;"6719046";"z";NA;"z";"z";"5157623"
"157";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2014;"5461918";"z";NA;"z";"z";"4659042"
"158";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2015;"5987349";"1281269";"z";"z";"z";"4308719"
"159";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2016;"3376728";"221916";NA;"20928";NA;"3133884"
"160";"Investitor - SKUPAJ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe";2017;"4881187";"z";"z";"z";NA;"z"
"161";"Investitor - SKUPAJ";"1242 Garažne stavbe";2010;"90648363";"88826650";"z";"z";"z";NA
"162";"Investitor - SKUPAJ";"1242 Garažne stavbe";2011;"16769121";"z";"z";"z";"z";"z"
"163";"Investitor - SKUPAJ";"1242 Garažne stavbe";2012;"3852739";"2968935";"z";"z";NA;"71265"
"164";"Investitor - SKUPAJ";"1242 Garažne stavbe";2013;"1393818";"1157184";NA;"66976";NA;"169657"
"165";"Investitor - SKUPAJ";"1242 Garažne stavbe";2014;"4696626";"z";"21260";"z";NA;"651516"
"166";"Investitor - SKUPAJ";"1242 Garažne stavbe";2015;"3985402";"3002340";"z";"z";NA;"525158"
"167";"Investitor - SKUPAJ";"1242 Garažne stavbe";2016;"3700380";"3149448";"z";"88270";"z";"381384"
"168";"Investitor - SKUPAJ";"1242 Garažne stavbe";2017;"4090702";"z";"z";"175121";NA;"z"
"169";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2010;"93563137";"62729723";"4536926";"5364220";"13434502";"7497766"
"170";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2011;"111377651";"74913019";"919364";"16440318";"14954783";"4150168"
"171";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2012;"110771135";"79197132";"z";"z";"487460";"19716800"
"172";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2013;"121978841";"91104970";"z";"10622295";"790690";"z"
"173";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2014;"z";"61724615";"692799";"5670226";"613457";"z"
"174";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2015;"109447319";"65823934";"5276404";"17263484";"399356";"20684141"
"175";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2016;"127249059";"84704833";"2888240";"9624346";"2922612";"27109027"
"176";"Investitor - SKUPAJ";"125 Industrijske stavbe in skladišča";2017;"199537568";"z";"6041166";"16126322";"510654";"z"
"177";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2010;"85505801";"56589455";"3776752";"5160516";"12604309";"7374770"
"178";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2011;"106211311";"72335763";"z";"z";"12804340";"3939923"
"179";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2012;"106146911";"76429349";"z";"z";"487460";"18852991"
"180";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2013;"115969077";"85913853";"z";"z";"790690";"17976641"
"181";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2014;"81950957";"58094482";"692799";"z";"z";"z"
"182";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2015;"96556028";"56451396";"5129089";"14294108";"399356";"20282078"
"183";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2016;"119451318";"78730507";"z";"8589920";"z";"26492638"
"184";"Investitor - SKUPAJ";"1251 Industrijske stavbe";2017;"181655605";"123954933";"5246635";"15091415";"510654";"36851967"
