"";"Občine";"Leto";"Spol";"Izobrazba...SKUPAJ";"Osnovnošolska.ali.manj";"Srednješolska";"Višješolska..visokošolska";"Neznano"
"157";"Beltinci";2017;"Spol - SKUPAJ";2994;"299";1922;"773";NA
"158";"Beltinci";2017;"Moški";1570;"161";1092;"317";NA
"159";"Beltinci";2017;"Ženske";1424;"138";830;"456";NA
"160";"Benedikt";2005;"Spol - SKUPAJ";824;"218";481;"59";66
"161";"Benedikt";2005;"Moški";478;"129";282;"20";46
"162";"Benedikt";2005;"Ženske";346;"89";199;"39";19
"163";"Benedikt";2006;"Spol - SKUPAJ";885;"225";525;"69";66
"164";"Benedikt";2006;"Moški";514;"132";309;"23";50
"165";"Benedikt";2006;"Ženske";371;"93";216;"46";17
"166";"Benedikt";2007;"Spol - SKUPAJ";933;"236";548;"79";69
"167";"Benedikt";2007;"Moški";560;"146";335;"25";54
"168";"Benedikt";2007;"Ženske";372;"90";213;"54";16
"169";"Benedikt";2008;"Spol - SKUPAJ";989;"237";585;"98";69
"170";"Benedikt";2008;"Moški";590;"148";364;"30";47
"171";"Benedikt";2008;"Ženske";399;"89";221;"67";22
"172";"Benedikt";2009;"Spol - SKUPAJ";964;"200";614;"107";44
"173";"Benedikt";2009;"Moški";564;"123";379;"33";29
"174";"Benedikt";2009;"Ženske";400;"77";235;"73";15
"175";"Benedikt";2010;"Spol - SKUPAJ";957;"187";610;"123";37
"176";"Benedikt";2010;"Moški";555;"116";368;"47";24
"177";"Benedikt";2010;"Ženske";402;"71";242;"76";13
"178";"Benedikt";2011;"Spol - SKUPAJ";990;"224";616;"150";NA
"179";"Benedikt";2011;"Moški";552;"131";369;"52";NA
"180";"Benedikt";2011;"Ženske";438;"93";247;"98";NA
"181";"Benedikt";2012;"Spol - SKUPAJ";980;"214";607;"159";NA
"182";"Benedikt";2012;"Moški";556;"126";369;"61";NA
"183";"Benedikt";2012;"Ženske";424;"88";238;"98";NA
"184";"Benedikt";2013;"Spol - SKUPAJ";967;"188";601;"178";NA
"185";"Benedikt";2013;"Moški";541;"108";366;"67";NA
"186";"Benedikt";2013;"Ženske";426;"80";235;"111";NA
"187";"Benedikt";2014;"Spol - SKUPAJ";958;"166";608;"184";NA
"188";"Benedikt";2014;"Moški";569;"112";387;"70";NA
"189";"Benedikt";2014;"Ženske";389;"54";221;"114";NA
"190";"Benedikt";2015;"Spol - SKUPAJ";971;"156";614;"201";NA
"191";"Benedikt";2015;"Moški";546;"100";369;"77";NA
"192";"Benedikt";2015;"Ženske";425;"56";245;"124";NA
"193";"Benedikt";2016;"Spol - SKUPAJ";931;"135";586;"210";NA
"194";"Benedikt";2016;"Moški";504;"83";340;"81";NA
"195";"Benedikt";2016;"Ženske";427;"52";246;"129";NA
"196";"Benedikt";2017;"Spol - SKUPAJ";1004;"137";641;"226";NA
"197";"Benedikt";2017;"Moški";544;"85";372;"87";NA
"198";"Benedikt";2017;"Ženske";460;"52";269;"139";NA
"199";"Bistrica ob Sotli";2005;"Spol - SKUPAJ";516;"161";285;"60";10
"200";"Bistrica ob Sotli";2005;"Moški";304;"96";179;"22";7
"201";"Bistrica ob Sotli";2005;"Ženske";212;"65";105;"38";3
"202";"Bistrica ob Sotli";2006;"Spol - SKUPAJ";518;"158";285;"63";12
"203";"Bistrica ob Sotli";2006;"Moški";311;"98";179;"27";8
"204";"Bistrica ob Sotli";2006;"Ženske";207;"61";107;"36";4
"205";"Bistrica ob Sotli";2007;"Spol - SKUPAJ";547;"157";306;"72";12
"206";"Bistrica ob Sotli";2007;"Moški";337;"101";198;"30";9
"207";"Bistrica ob Sotli";2007;"Ženske";210;"56";108;"42";3
"208";"Bistrica ob Sotli";2008;"Spol - SKUPAJ";566;"159";307;"88";13
"209";"Bistrica ob Sotli";2008;"Moški";343;"101";194;"39";9
"210";"Bistrica ob Sotli";2008;"Ženske";223;"58";112;"49";4
"211";"Bistrica ob Sotli";2009;"Spol - SKUPAJ";545;"134";308;"87";15
"212";"Bistrica ob Sotli";2009;"Moški";321;"83";192;"33";13
"213";"Bistrica ob Sotli";2009;"Ženske";224;"51";116;"55";3
"214";"Bistrica ob Sotli";2010;"Spol - SKUPAJ";532;"115";301;"98";18
"215";"Bistrica ob Sotli";2010;"Moški";305;"70";188;"34";13
"216";"Bistrica ob Sotli";2010;"Ženske";227;"45";113;"64";5
"217";"Bistrica ob Sotli";2011;"Spol - SKUPAJ";567;"126";324;"117";NA
"218";"Bistrica ob Sotli";2011;"Moški";334;"77";212;"45";NA
"219";"Bistrica ob Sotli";2011;"Ženske";233;"49";112;"72";NA
"220";"Bistrica ob Sotli";2012;"Spol - SKUPAJ";539;"109";309;"121";NA
"221";"Bistrica ob Sotli";2012;"Moški";320;"70";201;"49";NA
"222";"Bistrica ob Sotli";2012;"Ženske";219;"39";108;"72";NA
"223";"Bistrica ob Sotli";2013;"Spol - SKUPAJ";544;"105";318;"121";NA
"224";"Bistrica ob Sotli";2013;"Moški";328;"66";214;"48";NA
"225";"Bistrica ob Sotli";2013;"Ženske";216;"39";104;"73";NA
"226";"Bistrica ob Sotli";2014;"Spol - SKUPAJ";544;"99";322;"123";NA
"227";"Bistrica ob Sotli";2014;"Moški";319;"58";214;"47";NA
"228";"Bistrica ob Sotli";2014;"Ženske";225;"41";108;"76";NA
"229";"Bistrica ob Sotli";2015;"Spol - SKUPAJ";495;"68";297;"130";NA
"230";"Bistrica ob Sotli";2015;"Moški";285;"38";194;"53";NA
"231";"Bistrica ob Sotli";2015;"Ženske";210;"30";103;"77";NA
"232";"Bistrica ob Sotli";2016;"Spol - SKUPAJ";518;"63";309;"146";NA
"233";"Bistrica ob Sotli";2016;"Moški";292;"33";205;"54";NA
"234";"Bistrica ob Sotli";2016;"Ženske";226;"30";104;"92";NA
"235";"Bistrica ob Sotli";2017;"Spol - SKUPAJ";538;"65";318;"155";NA
"236";"Bistrica ob Sotli";2017;"Moški";305;"34";211;"60";NA
"237";"Bistrica ob Sotli";2017;"Ženske";233;"31";107;"95";NA
"238";"Bled";2005;"Spol - SKUPAJ";4343;"569";2648;"1081";46
"239";"Bled";2005;"Moški";2373;"324";1530;"486";33
"240";"Bled";2005;"Ženske";1970;"245";1118;"595";13
"241";"Bled";2006;"Spol - SKUPAJ";4417;"539";2694;"1141";43
"242";"Bled";2006;"Moški";2435;"315";1569;"522";30
"243";"Bled";2006;"Ženske";1981;"224";1125;"619";13
"244";"Bled";2007;"Spol - SKUPAJ";3343;"378";1974;"961";29
"245";"Bled";2007;"Moški";1836;"235";1145;"434";22
"246";"Bled";2007;"Ženske";1508;"144";829;"527";8
"247";"Bled";2008;"Spol - SKUPAJ";3304;"342";1959;"977";25
"248";"Bled";2008;"Moški";1818;"211";1149;"441";17
"249";"Bled";2008;"Ženske";1486;"131";810;"536";9
"250";"Bled";2009;"Spol - SKUPAJ";3209;"239";1898;"1052";20
"251";"Bled";2009;"Moški";1729;"144";1114;"458";14
"252";"Bled";2009;"Ženske";1480;"95";784;"594";7
"253";"Bled";2010;"Spol - SKUPAJ";3155;"217";1844;"1074";20
"254";"Bled";2010;"Moški";1712;"129";1114;"456";13
"255";"Bled";2010;"Ženske";1443;"88";730;"618";7
"256";"Bled";2011;"Spol - SKUPAJ";3164;"221";1820;"1123";NA
"257";"Bled";2011;"Moški";1706;"139";1097;"470";NA
"258";"Bled";2011;"Ženske";1458;"82";723;"653";NA
"259";"Bled";2012;"Spol - SKUPAJ";3022;"192";1710;"1120";NA
"260";"Bled";2012;"Moški";1620;"116";1038;"466";NA
"261";"Bled";2012;"Ženske";1402;"76";672;"654";NA
"262";"Bled";2013;"Spol - SKUPAJ";3060;"187";1674;"1199";NA
"263";"Bled";2013;"Moški";1636;"111";1018;"507";NA
"264";"Bled";2013;"Ženske";1424;"76";656;"692";NA
"265";"Bled";2014;"Spol - SKUPAJ";3020;"169";1641;"1210";NA
"266";"Bled";2014;"Moški";1587;"96";993;"498";NA
"267";"Bled";2014;"Ženske";1433;"73";648;"712";NA
"268";"Bled";2015;"Spol - SKUPAJ";3079;"168";1669;"1242";NA
"269";"Bled";2015;"Moški";1638;"93";1024;"521";NA
"270";"Bled";2015;"Ženske";1441;"75";645;"721";NA
"271";"Bled";2016;"Spol - SKUPAJ";3172;"153";1687;"1332";NA
"272";"Bled";2016;"Moški";1692;"87";1041;"564";NA
"273";"Bled";2016;"Ženske";1480;"66";646;"768";NA
"274";"Bled";2017;"Spol - SKUPAJ";3222;"146";1696;"1380";NA
"275";"Bled";2017;"Moški";1714;"83";1050;"581";NA
"276";"Bled";2017;"Ženske";1508;"63";646;"799";NA
"277";"Bloke";2005;"Spol - SKUPAJ";699;"182";401;"103";13
"278";"Bloke";2005;"Moški";422;"110";261;"49";2
"279";"Bloke";2005;"Ženske";277;"72";140;"54";11
"280";"Bloke";2006;"Spol - SKUPAJ";768;"218";432;"114";4
"281";"Bloke";2006;"Moški";481;"142";282;"55";2
"282";"Bloke";2006;"Ženske";286;"76";149;"59";2
"283";"Bloke";2007;"Spol - SKUPAJ";777;"200";451;"124";2
"284";"Bloke";2007;"Moški";497;"139";302;"54";2
"285";"Bloke";2007;"Ženske";280;"61";149;"70";NA
"286";"Bloke";2008;"Spol - SKUPAJ";760;"174";446;"137";3
"287";"Bloke";2008;"Moški";476;"119";293;"63";2
"288";"Bloke";2008;"Ženske";284;"56";154;"74";1
"289";"Bloke";2009;"Spol - SKUPAJ";697;"120";429;"146";3
"290";"Bloke";2009;"Moški";420;"75";275;"67";3
"291";"Bloke";2009;"Ženske";277;"45";154;"79";NA
"292";"Bloke";2010;"Spol - SKUPAJ";671;"112";411;"147";1
"293";"Bloke";2010;"Moški";402;"73";264;"64";1
"294";"Bloke";2010;"Ženske";269;"39";147;"83";NA
"295";"Bloke";2011;"Spol - SKUPAJ";693;"119";415;"159";NA
"296";"Bloke";2011;"Moški";412;"76";266;"70";NA
"297";"Bloke";2011;"Ženske";281;"43";149;"89";NA
"298";"Bloke";2012;"Spol - SKUPAJ";648;"92";391;"165";NA
"299";"Bloke";2012;"Moški";378;"57";252;"69";NA
"300";"Bloke";2012;"Ženske";270;"35";139;"96";NA
"301";"Bloke";2013;"Spol - SKUPAJ";632;"85";365;"182";NA
"302";"Bloke";2013;"Moški";364;"50";235;"79";NA
"303";"Bloke";2013;"Ženske";268;"35";130;"103";NA
"304";"Bloke";2014;"Spol - SKUPAJ";643;"80";381;"182";NA
"305";"Bloke";2014;"Moški";375;"49";247;"79";NA
"306";"Bloke";2014;"Ženske";268;"31";134;"103";NA
"307";"Bloke";2015;"Spol - SKUPAJ";638;"70";376;"192";NA
"308";"Bloke";2015;"Moški";371;"45";237;"89";NA
"309";"Bloke";2015;"Ženske";267;"25";139;"103";NA
"310";"Bloke";2016;"Spol - SKUPAJ";653;"61";388;"204";NA
"311";"Bloke";2016;"Moški";378;"36";254;"88";NA
"312";"Bloke";2016;"Ženske";275;"25";134;"116";NA
"313";"Bloke";2017;"Spol - SKUPAJ";717;"69";423;"225";NA
"314";"Bloke";2017;"Moški";418;"42";281;"95";NA
"315";"Bloke";2017;"Ženske";299;"27";142;"130";NA
"316";"Bohinj";2005;"Spol - SKUPAJ";2184;"327";1471;"357";29
"317";"Bohinj";2005;"Moški";1235;"169";902;"147";18
"318";"Bohinj";2005;"Ženske";949;"158";570;"210";11
"319";"Bohinj";2006;"Spol - SKUPAJ";2148;"310";1436;"373";29
"320";"Bohinj";2006;"Moški";1218;"163";882;"155";18
"321";"Bohinj";2006;"Ženske";930;"147";555;"218";11
"322";"Bohinj";2007;"Spol - SKUPAJ";2190;"318";1457;"387";28
"323";"Bohinj";2007;"Moški";1243;"162";903;"165";13
"324";"Bohinj";2007;"Ženske";946;"156";554;"222";15
"325";"Bohinj";2008;"Spol - SKUPAJ";2265;"333";1494;"404";33
"326";"Bohinj";2008;"Moški";1289;"179";923;"175";12
"327";"Bohinj";2008;"Ženske";976;"154";571;"229";21
"328";"Bohinj";2009;"Spol - SKUPAJ";2185;"274";1455;"432";24
"329";"Bohinj";2009;"Moški";1238;"154";887;"186";10
"330";"Bohinj";2009;"Ženske";947;"120";568;"246";14
"331";"Bohinj";2010;"Spol - SKUPAJ";2050;"201";1391;"444";14
"332";"Bohinj";2010;"Moški";1163;"116";853;"190";4
"333";"Bohinj";2010;"Ženske";887;"85";538;"254";10
"334";"Bohinj";2011;"Spol - SKUPAJ";1995;"187";1358;"450";NA
"335";"Bohinj";2011;"Moški";1123;"106";827;"190";NA
"336";"Bohinj";2011;"Ženske";872;"81";531;"260";NA
"337";"Bohinj";2012;"Spol - SKUPAJ";1983;"167";1335;"481";NA
"338";"Bohinj";2012;"Moški";1121;"93";827;"201";NA
"339";"Bohinj";2012;"Ženske";862;"74";508;"280";NA
"340";"Bohinj";2013;"Spol - SKUPAJ";1993;"159";1353;"481";NA
"341";"Bohinj";2013;"Moški";1119;"94";825;"200";NA
"342";"Bohinj";2013;"Ženske";874;"65";528;"281";NA
"343";"Bohinj";2014;"Spol - SKUPAJ";1998;"159";1314;"525";NA
"344";"Bohinj";2014;"Moški";1114;"88";800;"226";NA
"345";"Bohinj";2014;"Ženske";884;"71";514;"299";NA
"346";"Bohinj";2015;"Spol - SKUPAJ";1992;"144";1298;"550";NA
"347";"Bohinj";2015;"Moški";1110;"86";783;"241";NA
"348";"Bohinj";2015;"Ženske";882;"58";515;"309";NA
"349";"Bohinj";2016;"Spol - SKUPAJ";2023;"132";1317;"574";NA
"350";"Bohinj";2016;"Moški";1116;"79";796;"241";NA
"351";"Bohinj";2016;"Ženske";907;"53";521;"333";NA
"352";"Bohinj";2017;"Spol - SKUPAJ";2133;"137";1371;"625";NA
"353";"Bohinj";2017;"Moški";1194;"77";856;"261";NA
"354";"Bohinj";2017;"Ženske";939;"60";515;"364";NA
"355";"Borovnica";2005;"Spol - SKUPAJ";1725;"371";1067;"273";14
"356";"Borovnica";2005;"Moški";952;"227";605;"112";9
"357";"Borovnica";2005;"Ženske";773;"145";462;"161";5
"358";"Borovnica";2006;"Spol - SKUPAJ";1776;"373";1097;"293";13
"359";"Borovnica";2006;"Moški";981;"231";621;"121";8
"360";"Borovnica";2006;"Ženske";795;"142";476;"172";5
"361";"Borovnica";2007;"Spol - SKUPAJ";1815;"370";1107;"329";10
"362";"Borovnica";2007;"Moški";1021;"237";638;"140";7
"363";"Borovnica";2007;"Ženske";794;"133";469;"189";3
"364";"Borovnica";2008;"Spol - SKUPAJ";1847;"366";1132;"341";8
"365";"Borovnica";2008;"Moški";1042;"242";658;"138";5
"366";"Borovnica";2008;"Ženske";805;"124";475;"203";3
"367";"Borovnica";2009;"Spol - SKUPAJ";1810;"299";1129;"377";5
"368";"Borovnica";2009;"Moški";1026;"206";669;"148";3
"369";"Borovnica";2009;"Ženske";784;"93";460;"229";2
"370";"Borovnica";2010;"Spol - SKUPAJ";1771;"304";1073;"389";5
"371";"Borovnica";2010;"Moški";1010;"215";635;"156";4
"372";"Borovnica";2010;"Ženske";761;"89";438;"233";1
"373";"Borovnica";2011;"Spol - SKUPAJ";1719;"256";1034;"429";NA
"374";"Borovnica";2011;"Moški";958;"178";615;"165";NA
"375";"Borovnica";2011;"Ženske";761;"78";419;"264";NA
