"Delovno aktivno prebivalstvo po: OBÈINE, LETO, SPOL , DOSEŽENA IZOBRAZBA"

"Obèine";"Leto";"Spol";"Izobrazba - SKUPAJ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Neznano"
" ";" ";"Spol - SKUPAJ";2166;399;1318;420;29
" ";" ";"Moški";1207;236;778;176;18
" ";" ";"Ženske";959;163;540;244;11
" ";"2007"
" ";" ";"Spol - SKUPAJ";2282;425;1379;455;23
" ";" ";"Moški";1289;264;815;197;13
" ";" ";"Ženske";993;161;565;258;9
" ";"2008"
" ";" ";"Spol - SKUPAJ";2294;421;1372;484;16
" ";" ";"Moški";1281;260;803;208;10
" ";" ";"Ženske";1013;161;570;276;6
" ";"2009"
" ";" ";"Spol - SKUPAJ";2226;354;1358;506;7
" ";" ";"Moški";1234;223;788;217;6
" ";" ";"Ženske";992;132;570;289;1
" ";"2010"
" ";" ";"Spol - SKUPAJ";2166;326;1310;525;5
" ";" ";"Moški";1219;215;772;228;4
