"Delovno aktivno prebivalstvo po: OBÈINE, LETO, SPOL , DOSEŽENA IZOBRAZBA"

"Obèine";"Leto";"Spol";"Izobrazba - SKUPAJ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Neznano"
" ";" ";"Moški";977;107;636;234;-
" ";" ";"Ženske";820;79;416;325;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1809;168;1044;597;-
" ";" ";"Moški";986;98;633;255;-
" ";" ";"Ženske";823;70;411;342;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1883;169;1073;641;-
" ";" ";"Moški";1008;89;657;262;-
" ";" ";"Ženske";875;80;416;379;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1983;173;1124;686;-
" ";" ";"Moški";1061;92;688;281;-
" ";" ";"Ženske";922;81;436;405;-
"Mirna"
" ";"2005"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1062;116;648;298;-
" ";" ";"Moški";585;72;388;125;-
" ";" ";"Ženske";477;44;260;173;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1061;118;635;308;-
" ";" ";"Moški";563;70;367;126;-
" ";" ";"Ženske";498;48;268;182;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1090;110;666;314;-
" ";" ";"Moški";599;65;408;126;-
" ";" ";"Ženske";491;45;258;188;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1110;96;669;345;-
" ";" ";"Moški";592;59;398;135;-
" ";" ";"Ženske";518;37;271;210;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1130;89;675;366;-
" ";" ";"Moški";595;57;400;138;-
" ";" ";"Ženske";535;32;275;228;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1224;98;732;394;-
" ";" ";"Moški";662;61;450;151;-
" ";" ";"Ženske";562;37;282;243;-
"Mirna Peè"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1200;293;715;158;34
" ";" ";"Moški";700;193;426;62;19
" ";" ";"Ženske";500;100;289;96;15
" ";"2006"
" ";" ";"Spol - SKUPAJ";1223;295;714;180;34
" ";" ";"Moški";710;191;427;72;20
" ";" ";"Ženske";513;104;287;108;14
" ";"2007"
" ";" ";"Spol - SKUPAJ";1253;293;727;201;33
" ";" ";"Moški";727;196;435;78;18
" ";" ";"Ženske";526;97;292;123;15
" ";"2008"
" ";" ";"Spol - SKUPAJ";1294;279;757;224;34
" ";" ";"Moški";741;183;452;89;17
" ";" ";"Ženske";553;95;305;135;17
" ";"2009"
" ";" ";"Spol - SKUPAJ";1267;248;765;238;16
" ";" ";"Moški";719;160;453;98;7
" ";" ";"Ženske";548;87;312;140;9
" ";"2010"
" ";" ";"Spol - SKUPAJ";1232;222;754;241;15
" ";" ";"Moški";693;143;447;96;7
" ";" ";"Ženske";539;79;307;145;8
" ";"2011"
" ";" ";"Spol - SKUPAJ";1235;207;749;279;-
" ";" ";"Moški";690;129;449;112;-
" ";" ";"Ženske";545;78;300;167;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1195;184;728;283;-
" ";" ";"Moški";664;112;433;119;-
" ";" ";"Ženske";531;72;295;164;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1242;194;750;298;-
" ";" ";"Moški";672;103;443;126;-
" ";" ";"Ženske";570;91;307;172;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1288;175;791;322;-
" ";" ";"Moški";715;104;468;143;-
" ";" ";"Ženske";573;71;323;179;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1290;161;779;350;-
" ";" ";"Moški";707;93;460;154;-
" ";" ";"Ženske";583;68;319;196;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1283;141;762;380;-
" ";" ";"Moški";675;73;443;159;-
" ";" ";"Ženske";608;68;319;221;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1321;131;789;401;-
" ";" ";"Moški";695;71;451;173;-
" ";" ";"Ženske";626;60;338;228;-
"Mislinja"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1978;451;1189;308;30
" ";" ";"Moški";1121;284;695;124;18
" ";" ";"Ženske";857;166;494;184;12
" ";"2006"
" ";" ";"Spol - SKUPAJ";1990;429;1196;333;32
" ";" ";"Moški";1130;274;703;134;19
" ";" ";"Ženske";860;156;493;199;13
" ";"2007"
" ";" ";"Spol - SKUPAJ";2036;422;1231;349;35
" ";" ";"Moški";1161;270;723;145;23
" ";" ";"Ženske";875;151;508;204;11
" ";"2008"
" ";" ";"Spol - SKUPAJ";2045;405;1208;397;35
" ";" ";"Moški";1150;257;707;166;20
" ";" ";"Ženske";895;148;501;231;15
" ";"2009"
" ";" ";"Spol - SKUPAJ";1993;331;1228;404;30
" ";" ";"Moški";1119;200;723;174;21
" ";" ";"Ženske";874;131;505;230;8
" ";"2010"
" ";" ";"Spol - SKUPAJ";1924;295;1191;412;26
" ";" ";"Moški";1106;192;710;184;20
" ";" ";"Ženske";818;103;481;228;6
" ";"2011"
" ";" ";"Spol - SKUPAJ";1922;301;1200;421;-
" ";" ";"Moški";1105;200;717;188;-
" ";" ";"Ženske";817;101;483;233;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1960;308;1215;437;-
" ";" ";"Moški";1138;207;735;196;-
" ";" ";"Ženske";822;101;480;241;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1923;288;1176;459;-
" ";" ";"Moški";1108;190;720;198;-
" ";" ";"Ženske";815;98;456;261;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1889;251;1161;477;-
" ";" ";"Moški";1100;166;718;216;-
" ";" ";"Ženske";789;85;443;261;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1839;220;1126;493;-
" ";" ";"Moški";1036;139;676;221;-
" ";" ";"Ženske";803;81;450;272;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1892;200;1162;530;-
" ";" ";"Moški";1056;125;707;224;-
" ";" ";"Ženske";836;75;455;306;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1962;200;1195;567;-
" ";" ";"Moški";1072;120;715;237;-
" ";" ";"Ženske";890;80;480;330;-
"Mokronog - Trebelno"
" ";"2005"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";1331;392;699;176;64
" ";" ";"Moški";789;254;429;66;41
" ";" ";"Ženske";541;139;270;110;23
" ";"2008"
" ";" ";"Spol - SKUPAJ";1324;374;697;195;59
" ";" ";"Moški";780;243;431;73;34
" ";" ";"Ženske";544;131;266;122;25
" ";"2009"
" ";" ";"Spol - SKUPAJ";1290;324;726;196;44
" ";" ";"Moški";766;198;463;74;31
" ";" ";"Ženske";524;126;263;122;13
" ";"2010"
" ";" ";"Spol - SKUPAJ";1206;291;692;193;30
" ";" ";"Moški";724;187;446;71;20
" ";" ";"Ženske";482;104;246;122;10
" ";"2011"
" ";" ";"Spol - SKUPAJ";1255;289;732;234;-
" ";" ";"Moški";754;188;481;85;-
" ";" ";"Ženske";501;101;251;149;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1181;225;714;242;-
" ";" ";"Moški";704;147;466;91;-
" ";" ";"Ženske";477;78;248;151;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1225;228;726;271;-
" ";" ";"Moški";702;137;471;94;-
" ";" ";"Ženske";523;91;255;177;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1265;214;765;286;-
" ";" ";"Moški";748;136;510;102;-
" ";" ";"Ženske";517;78;255;184;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1260;191;759;310;-
" ";" ";"Moški";724;112;501;111;-
" ";" ";"Ženske";536;79;258;199;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1308;195;790;323;-
" ";" ";"Moški";741;116;508;117;-
" ";" ";"Ženske";567;79;282;206;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1364;183;823;358;-
" ";" ";"Moški";768;105;536;127;-
" ";" ";"Ženske";596;78;287;231;-
"Moravèe"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2055;536;1295;220;4
" ";" ";"Moški";1181;338;762;79;2
" ";" ";"Ženske";874;198;533;141;2
" ";"2006"
" ";" ";"Spol - SKUPAJ";2100;524;1332;241;3
" ";" ";"Moški";1199;338;769;91;2
" ";" ";"Ženske";900;186;563;150;1
" ";"2007"
" ";" ";"Spol - SKUPAJ";2167;522;1371;272;3
" ";" ";"Moški";1235;338;797;98;2
" ";" ";"Ženske";932;184;573;174;1
" ";"2008"
" ";" ";"Spol - SKUPAJ";2179;514;1367;295;3
" ";" ";"Moški";1228;335;780;111;2
" ";" ";"Ženske";951;179;587;184;1
" ";"2009"
" ";" ";"Spol - SKUPAJ";2164;411;1407;340;6
" ";" ";"Moški";1212;263;820;123;6
" ";" ";"Ženske";952;148;587;217;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";2148;359;1404;380;5
" ";" ";"Moški";1205;236;829;135;5
" ";" ";"Ženske";943;123;575;245;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";2205;356;1423;426;-
" ";" ";"Moški";1224;236;832;156;-
" ";" ";"Ženske";981;120;591;270;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";2204;308;1443;453;-
" ";" ";"Moški";1231;209;849;173;-
" ";" ";"Ženske";973;99;594;280;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";2224;284;1459;481;-
" ";" ";"Moški";1244;189;870;185;-
" ";" ";"Ženske";980;95;589;296;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";2295;280;1489;526;-
" ";" ";"Moški";1290;185;899;206;-
" ";" ";"Ženske";1005;95;590;320;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";2287;266;1460;561;-
" ";" ";"Moški";1258;174;867;217;-
" ";" ";"Ženske";1029;92;593;344;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";2351;263;1479;609;-
" ";" ";"Moški";1285;169;885;231;-
" ";" ";"Ženske";1066;94;594;378;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";2412;257;1508;647;-
" ";" ";"Moški";1308;163;893;252;-
" ";" ";"Ženske";1104;94;615;395;-
"Moravske Toplice"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2340;766;1243;300;32
" ";" ";"Moški";1334;461;703;144;27
" ";" ";"Ženske";1007;305;541;156;5
" ";"2006"
" ";" ";"Spol - SKUPAJ";2414;766;1303;318;27
" ";" ";"Moški";1398;481;738;157;23
" ";" ";"Ženske";1016;285;566;161;4
" ";"2007"
" ";" ";"Spol - SKUPAJ";2488;791;1339;329;30
" ";" ";"Moški";1467;512;767;165;23
" ";" ";"Ženske";1021;279;572;164;7
" ";"2008"
" ";" ";"Spol - SKUPAJ";2467;765;1316;358;28
" ";" ";"Moški";1440;496;742;181;21
" ";" ";"Ženske";1027;269;574;177;7
" ";"2009"
" ";" ";"Spol - SKUPAJ";2257;531;1314;376;36
" ";" ";"Moški";1358;356;793;185;23
" ";" ";"Ženske";899;175;520;191;13
" ";"2010"
" ";" ";"Spol - SKUPAJ";2244;499;1321;385;39
" ";" ";"Moški";1335;343;780;183;29
" ";" ";"Ženske";909;156;541;202;10
" ";"2011"
" ";" ";"Spol - SKUPAJ";2333;530;1373;430;-
" ";" ";"Moški";1354;348;803;203;-
" ";" ";"Ženske";979;182;570;227;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";2250;508;1286;456;-
" ";" ";"Moški";1278;325;743;210;-
" ";" ";"Ženske";972;183;543;246;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";2238;451;1310;477;-
" ";" ";"Moški";1262;292;750;220;-
" ";" ";"Ženske";976;159;560;257;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";2172;381;1290;501;-
" ";" ";"Moški";1248;260;749;239;-
" ";" ";"Ženske";924;121;541;262;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";2083;293;1260;530;-
" ";" ";"Moški";1186;193;740;253;-
" ";" ";"Ženske";897;100;520;277;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";2107;268;1277;562;-
" ";" ";"Moški";1191;178;745;268;-
" ";" ";"Ženske";916;90;532;294;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";2221;270;1323;628;-
" ";" ";"Moški";1233;173;764;296;-
" ";" ";"Ženske";988;97;559;332;-
"Mozirje"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2602;596;1535;445;25
" ";" ";"Moški";1467;356;901;191;18
" ";" ";"Ženske";1135;241;633;254;7
" ";"2006"
" ";" ";"Spol - SKUPAJ";2626;580;1554;468;24
" ";" ";"Moški";1486;348;921;197;19
" ";" ";"Ženske";1141;232;633;271;5
" ";"2007"
" ";" ";"Spol - SKUPAJ";1754;392;1009;341;12
" ";" ";"Moški";1000;252;593;145;9
" ";" ";"Ženske";754;139;416;196;3
" ";"2008"
" ";" ";"Spol - SKUPAJ";1718;380;963;369;5
" ";" ";"Moški";962;237;558;161;4
" ";" ";"Ženske";757;143;405;208;1
" ";"2009"
" ";" ";"Spol - SKUPAJ";1693;332;968;386;7
" ";" ";"Moški";968;210;581;171;6
" ";" ";"Ženske";725;122;387;215;1
" ";"2010"
" ";" ";"Spol - SKUPAJ";1685;315;957;410;3
" ";" ";"Moški";952;196;575;178;3
" ";" ";"Ženske";733;119;382;232;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";1673;297;944;432;-
" ";" ";"Moški";933;187;565;181;-
" ";" ";"Ženske";740;110;379;251;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1684;318;936;430;-
" ";" ";"Moški";946;207;562;177;-
" ";" ";"Ženske";738;111;374;253;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1655;282;917;456;-
" ";" ";"Moški";903;178;540;185;-
" ";" ";"Ženske";752;104;377;271;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1627;264;901;462;-
" ";" ";"Moški";895;168;535;192;-
" ";" ";"Ženske";732;96;366;270;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1618;213;907;498;-
" ";" ";"Moški";864;129;533;202;-
" ";" ";"Ženske";754;84;374;296;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1671;208;919;544;-
" ";" ";"Moški";897;122;552;223;-
" ";" ";"Ženske";774;86;367;321;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1753;206;953;594;-
" ";" ";"Moški";926;115;577;234;-
" ";" ";"Ženske";827;91;376;360;-
"Murska Sobota"
" ";"2005"
" ";" ";"Spol - SKUPAJ";7772;1437;4291;1968;76
" ";" ";"Moški";3961;710;2333;870;48
" ";" ";"Ženske";3810;727;1958;1098;28
" ";"2006"
" ";" ";"Spol - SKUPAJ";7822;1411;4340;1999;71
" ";" ";"Moški";4027;717;2387;876;46
" ";" ";"Ženske";3795;694;1953;1123;25
" ";"2007"
" ";" ";"Spol - SKUPAJ";7790;1373;4321;2034;62
" ";" ";"Moški";4021;723;2391;870;37
" ";" ";"Ženske";3769;649;1930;1165;25
" ";"2008"
" ";" ";"Spol - SKUPAJ";7791;1283;4335;2117;57
" ";" ";"Moški";4008;679;2394;901;34
" ";" ";"Ženske";3783;603;1941;1216;23
" ";"2009"
" ";" ";"Spol - SKUPAJ";6847;784;3898;2115;50
" ";" ";"Moški";3597;458;2191;915;32
" ";" ";"Ženske";3250;326;1707;1199;17
" ";"2010"
" ";" ";"Spol - SKUPAJ";6876;794;3908;2143;31
" ";" ";"Moški";3558;440;2184;914;20
" ";" ";"Ženske";3318;354;1724;1229;11
" ";"2011"
" ";" ";"Spol - SKUPAJ";6824;773;3850;2201;-
" ";" ";"Moški";3518;417;2159;942;-
" ";" ";"Ženske";3306;356;1691;1259;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";6611;676;3725;2210;-
" ";" ";"Moški";3372;361;2062;949;-
" ";" ";"Ženske";3239;315;1663;1261;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";6416;606;3552;2258;-
" ";" ";"Moški";3278;327;1987;964;-
" ";" ";"Ženske";3138;279;1565;1294;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";6360;533;3510;2317;-
" ";" ";"Moški";3282;300;1994;988;-
" ";" ";"Ženske";3078;233;1516;1329;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";6353;477;3501;2375;-
" ";" ";"Moški";3243;261;1986;996;-
" ";" ";"Ženske";3110;216;1515;1379;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";6511;476;3587;2448;-
" ";" ";"Moški";3311;247;2028;1036;-
" ";" ";"Ženske";3200;229;1559;1412;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";6652;474;3604;2574;-
" ";" ";"Moški";3362;251;2025;1086;-
" ";" ";"Ženske";3290;223;1579;1488;-
"Muta"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1457;290;943;205;19
" ";" ";"Moški";837;194;546;82;15
" ";" ";"Ženske";620;96;396;123;4
" ";"2006"
" ";" ";"Spol - SKUPAJ";1483;281;952;229;21
" ";" ";"Moški";842;187;549;90;16
" ";" ";"Ženske";641;94;403;139;5
" ";"2007"
" ";" ";"Spol - SKUPAJ";1509;282;971;235;21
" ";" ";"Moški";849;185;558;90;17
" ";" ";"Ženske";659;97;413;145;5
" ";"2008"
" ";" ";"Spol - SKUPAJ";1500;277;973;235;14
" ";" ";"Moški";845;187;556;90;12
" ";" ";"Ženske";656;91;417;145;3
" ";"2009"
" ";" ";"Spol - SKUPAJ";1374;222;905;241;6
" ";" ";"Moški";769;151;518;95;5
" ";" ";"Ženske";605;71;387;145;1
" ";"2010"
" ";" ";"Spol - SKUPAJ";1292;191;849;247;5
" ";" ";"Moški";748;144;502;98;4
" ";" ";"Ženske";544;47;347;149;1
" ";"2011"
" ";" ";"Spol - SKUPAJ";1316;179;879;258;-
" ";" ";"Moški";745;133;510;102;-
" ";" ";"Ženske";571;46;369;156;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1297;181;851;265;-
" ";" ";"Moški";753;139;507;107;-
" ";" ";"Ženske";544;42;344;158;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1276;172;841;263;-
" ";" ";"Moški";737;124;503;110;-
" ";" ";"Ženske";539;48;338;153;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1285;166;834;285;-
" ";" ";"Moški";746;126;500;120;-
" ";" ";"Ženske";539;40;334;165;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1249;157;806;286;-
" ";" ";"Moški";696;119;460;117;-
" ";" ";"Ženske";553;38;346;169;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1276;154;799;323;-
" ";" ";"Moški";717;117;471;129;-
" ";" ";"Ženske";559;37;328;194;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1293;142;813;338;-
" ";" ";"Moški";702;103;465;134;-
" ";" ";"Ženske";591;39;348;204;-
"Naklo"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2039;353;1181;490;15
" ";" ";"Moški";1132;207;690;226;9
" ";" ";"Ženske";907;146;491;264;6
" ";"2006"
" ";" ";"Spol - SKUPAJ";2051;323;1197;514;16
" ";" ";"Moški";1137;188;706;233;10
" ";" ";"Ženske";913;135;492;281;6
" ";"2007"
" ";" ";"Spol - SKUPAJ";2123;331;1229;550;13
" ";" ";"Moški";1190;211;728;242;9
" ";" ";"Ženske";933;120;501;308;4
" ";"2008"
" ";" ";"Spol - SKUPAJ";2131;333;1213;572;13
" ";" ";"Moški";1180;224;703;244;9
" ";" ";"Ženske";951;109;510;328;4
" ";"2009"
" ";" ";"Spol - SKUPAJ";2105;241;1255;598;11
" ";" ";"Moški";1172;170;729;266;8
" ";" ";"Ženske";933;71;526;332;4
" ";"2010"
" ";" ";"Spol - SKUPAJ";2038;223;1216;589;10
" ";" ";"Moški";1125;153;710;255;7
" ";" ";"Ženske";913;70;506;334;3
" ";"2011"
" ";" ";"Spol - SKUPAJ";2029;198;1214;617;-
" ";" ";"Moški";1112;129;717;266;-
" ";" ";"Ženske";917;69;497;351;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";2041;183;1192;666;-
" ";" ";"Moški";1113;123;703;287;-
" ";" ";"Ženske";928;60;489;379;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";2023;178;1174;671;-
" ";" ";"Moški";1087;119;682;286;-
" ";" ";"Ženske";936;59;492;385;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";2063;172;1171;720;-
" ";" ";"Moški";1100;114;680;306;-
" ";" ";"Ženske";963;58;491;414;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";2095;182;1159;754;-
" ";" ";"Moški";1134;126;684;324;-
" ";" ";"Ženske";961;56;475;430;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";2202;179;1205;818;-
" ";" ";"Moški";1183;127;710;346;-
" ";" ";"Ženske";1019;52;495;472;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";2264;195;1203;866;-
" ";" ";"Moški";1208;141;722;345;-
" ";" ";"Ženske";1056;54;481;521;-
"Nazarje"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1108;302;645;148;13
" ";" ";"Moški";601;159;368;64;10
" ";" ";"Ženske";507;143;277;84;3
" ";"2006"
" ";" ";"Spol - SKUPAJ";1132;305;659;155;13
" ";" ";"Moški";620;159;385;65;10
" ";" ";"Ženske";512;146;274;90;3
" ";"2007"
" ";" ";"Spol - SKUPAJ";1156;290;690;163;12
" ";" ";"Moški";629;157;399;64;9
" ";" ";"Ženske";527;133;292;99;3
" ";"2008"
" ";" ";"Spol - SKUPAJ";1135;276;686;162;11
" ";" ";"Moški";609;152;386;63;8
" ";" ";"Ženske";526;124;300;99;3
" ";"2009"
" ";" ";"Spol - SKUPAJ";1057;218;651;178;10
" ";" ";"Moški";583;127;382;68;6
" ";" ";"Ženske";474;92;269;110;4
" ";"2010"
" ";" ";"Spol - SKUPAJ";1068;214;660;186;8
" ";" ";"Moški";593;129;383;76;5
" ";" ";"Ženske";475;85;277;110;3
" ";"2011"
" ";" ";"Spol - SKUPAJ";1127;232;691;204;-
" ";" ";"Moški";650;146;417;87;-
" ";" ";"Ženske";477;86;274;117;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1114;228;674;212;-
" ";" ";"Moški";641;142;410;89;-
" ";" ";"Ženske";473;86;264;123;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1118;212;669;237;-
" ";" ";"Moški";643;134;408;101;-
" ";" ";"Ženske";475;78;261;136;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1099;198;656;245;-
" ";" ";"Moški";651;123;426;102;-
" ";" ";"Ženske";448;75;230;143;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1114;190;660;264;-
" ";" ";"Moški";643;116;416;111;-
" ";" ";"Ženske";471;74;244;153;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1166;177;709;280;-
" ";" ";"Moški";675;112;447;116;-
" ";" ";"Ženske";491;65;262;164;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1173;173;695;305;-
" ";" ";"Moški";670;107;438;125;-
" ";" ";"Ženske";503;66;257;180;-
"Nova Gorica"
" ";"2005"
" ";" ";"Spol - SKUPAJ";15154;3079;8283;3638;153
" ";" ";"Moški";8418;1848;4847;1608;115
" ";" ";"Ženske";6736;1231;3436;2030;39
" ";"2006"
" ";" ";"Spol - SKUPAJ";15572;3094;8554;3784;139
" ";" ";"Moški";8793;1876;5120;1694;102
" ";" ";"Ženske";6779;1218;3434;2090;38
" ";"2007"
" ";" ";"Spol - SKUPAJ";14347;2975;7676;3589;107
" ";" ";"Moški";8198;1920;4605;1596;78
" ";" ";"Ženske";6149;1055;3071;1993;29
" ";"2008"
" ";" ";"Spol - SKUPAJ";14330;2950;7609;3688;83
" ";" ";"Moški";8137;1926;4537;1616;57
" ";" ";"Ženske";6193;1023;3072;2072;25
" ";"2009"
" ";" ";"Spol - SKUPAJ";13338;2287;7280;3696;75
" ";" ";"Moški";7487;1505;4328;1602;52
" ";" ";"Ženske";5851;781;2952;2094;23
" ";"2010"
" ";" ";"Spol - SKUPAJ";12892;2114;7066;3674;38
" ";" ";"Moški";7164;1376;4181;1577;30
" ";" ";"Ženske";5728;738;2885;2097;8
" ";"2011"
" ";" ";"Spol - SKUPAJ";12489;1839;6766;3884;-
" ";" ";"Moški";6816;1137;3996;1683;-
" ";" ";"Ženske";5673;702;2770;2201;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";11858;1569;6408;3881;-
" ";" ";"Moški";6410;956;3759;1695;-
" ";" ";"Ženske";5448;613;2649;2186;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";11812;1461;6372;3979;-
" ";" ";"Moški";6376;884;3782;1710;-
" ";" ";"Ženske";5436;577;2590;2269;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";12116;1466;6557;4093;-
" ";" ";"Moški";6585;907;3930;1748;-
" ";" ";"Ženske";5531;559;2627;2345;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";12123;1419;6487;4217;-
" ";" ";"Moški";6543;869;3893;1781;-
" ";" ";"Ženske";5580;550;2594;2436;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";12483;1311;6721;4451;-
" ";" ";"Moški";6716;790;4055;1871;-
" ";" ";"Ženske";5767;521;2666;2580;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";12908;1310;6902;4696;-
" ";" ";"Moški";7025;817;4241;1967;-
" ";" ";"Ženske";5883;493;2661;2729;-
"Novo mesto"
" ";"2005"
" ";" ";"Spol - SKUPAJ";17759;3616;9654;4206;283
" ";" ";"Moški";9840;2231;5589;1827;192
" ";" ";"Ženske";7919;1384;4065;2378;91
" ";"2006"
" ";" ";"Spol - SKUPAJ";18227;3703;9809;4449;267
" ";" ";"Moški";10174;2344;5725;1925;180
" ";" ";"Ženske";8053;1359;4084;2524;87
" ";"2007"
" ";" ";"Spol - SKUPAJ";15927;3155;8480;4094;198
" ";" ";"Moški";9048;2094;5020;1809;124
" ";" ";"Ženske";6879;1061;3460;2285;74
" ";"2008"
" ";" ";"Spol - SKUPAJ";16180;3231;8483;4274;192
" ";" ";"Moški";9229;2207;5043;1871;108
" ";" ";"Ženske";6952;1025;3440;2403;84
" ";"2009"
" ";" ";"Spol - SKUPAJ";15807;2715;8577;4391;124
" ";" ";"Moški";8984;1840;5205;1864;75
" ";" ";"Ženske";6823;875;3372;2527;49
" ";"2010"
