"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
" ";"2002";0.7;115
" ";"2003";6.2;60
" ";"2004";3.6;94
" ";"2005";1.8;121
" ";"2006";2.2;118
" ";"2007";3.0;97
" ";"2008";0.8;107
" ";"2009";1.9;143
" ";"2010";1.9;122
" ";"2011";1.2;156
" ";"2012";0.8;165
" ";"2013";0.8;214
" ";"2014";5.0;98
" ";"2015";0.8;74
" ";"2016";0.0;0
" ";"2017";0.4;43
"Poljèane"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.5;119
" ";"2008";0.7;103
" ";"2009";0.4;383
" ";"2010";9.8;128
" ";"2011";2.2;186
" ";"2012";2.2;167
" ";"2013";2.4;184
" ";"2014";1.3;170
" ";"2015";0.9;122
" ";"2016";1.1;165
" ";"2017";0.7;84
"Polzela"
" ";"2002";5.5;154
" ";"2003";4.0;161
" ";"2004";4.1;122
" ";"2005";2.4;139
" ";"2006";2.3;208
" ";"2007";2.0;222
" ";"2008";4.5;179
" ";"2009";4.1;194
" ";"2010";7.4;183
" ";"2011";3.5;193
" ";"2012";2.7;151
" ";"2013";1.8;164
" ";"2014";1.5;182
" ";"2015";1.1;128
" ";"2016";2.1;139
" ";"2017";2.1;156
"Postojna"
" ";"2002";6.2;102
" ";"2003";4.6;125
" ";"2004";4.8;107
" ";"2005";5.1;114
" ";"2006";3.0;166
" ";"2007";5.4;123
" ";"2008";17.2;77
" ";"2009";4.0;129
" ";"2010";5.8;114
" ";"2011";7.0;94
" ";"2012";2.9;164
" ";"2013";2.3;184
" ";"2014";1.6;153
" ";"2015";1.4;143
" ";"2016";1.4;136
" ";"2017";0.9;139
"Prebold"
" ";"2002";1.7;206
" ";"2003";0.9;170
" ";"2004";1.3;115
" ";"2005";5.2;94
" ";"2006";0.4;84
" ";"2007";11.3;64
" ";"2008";1.5;198
" ";"2009";5.8;178
" ";"2010";1.7;188
" ";"2011";14.9;71
" ";"2012";1.6;157
" ";"2013";1.8;155
" ";"2014";1.2;224
" ";"2015";1.4;162
" ";"2016";1.0;137
" ";"2017";1.8;150
"Preddvor"
" ";"2002";7.5;102
" ";"2003";5.4;162
" ";"2004";3.2;180
" ";"2005";5.1;162
" ";"2006";5.0;163
" ";"2007";3.7;183
" ";"2008";1.2;177
" ";"2009";1.5;261
" ";"2010";10.0;115
" ";"2011";3.4;187
" ";"2012";3.6;213
" ";"2013";1.7;175
" ";"2014";3.7;69
" ";"2015";0.8;130
" ";"2016";0.6;163
" ";"2017";1.7;167
"Prevalje"
" ";"2002";6.7;69
" ";"2003";4.0;82
" ";"2004";5.6;73
" ";"2005";2.4;124
" ";"2006";6.8;77
" ";"2007";3.0;77
" ";"2008";1.6;117
" ";"2009";0.7;176
" ";"2010";5.3;67
" ";"2011";1.2;175
" ";"2012";0.9;183
" ";"2013";0.7;270
" ";"2014";2.7;88
" ";"2015";0.4;171
" ";"2016";0.6;155
" ";"2017";1.6;120
"Ptuj"
" ";"2002";2.0;108
" ";"2003";2.4;118
" ";"2004";4.7;83
" ";"2005";1.7;116
" ";"2006";1.5;118
" ";"2007";1.7;143
" ";"2008";1.6;129
" ";"2009";1.8;132
" ";"2010";1.2;147
" ";"2011";0.9;140
" ";"2012";0.5;192
" ";"2013";0.5;128
" ";"2014";0.7;90
" ";"2015";0.8;129
" ";"2016";1.0;125
" ";"2017";1.2;131
"Puconci"
" ";"2002";2.8;118
" ";"2003";2.4;103
" ";"2004";2.5;107
" ";"2005";2.1;90
" ";"2006";3.2;101
" ";"2007";2.7;106
" ";"2008";5.4;71
" ";"2009";2.6;132
" ";"2010";2.8;118
" ";"2011";2.3;165
" ";"2012";2.0;151
" ";"2013";2.6;181
" ";"2014";1.3;117
" ";"2015";1.7;104
" ";"2016";2.3;123
" ";"2017";2.7;90
"Raèe - Fram"
" ";"2002";3.4;134
" ";"2003";5.1;143
" ";"2004";8.7;108
" ";"2005";6.0;138
" ";"2006";5.3;168
" ";"2007";9.6;107
" ";"2008";9.2;138
" ";"2009";7.7;125
" ";"2010";3.6;155
" ";"2011";5.6;162
" ";"2012";32.5;98
" ";"2013";2.9;162
" ";"2014";3.3;139
" ";"2015";2.4;133
" ";"2016";3.6;146
" ";"2017";1.4;205
"Radeèe"
" ";"2002";1.5;108
" ";"2003";1.7;174
" ";"2004";2.4;150
" ";"2005";2.2;111
" ";"2006";1.7;107
" ";"2007";1.5;227
" ";"2008";1.1;160
" ";"2009";0.9;135
" ";"2010";5.8;85
" ";"2011";0.4;140
" ";"2012";1.3;142
" ";"2013";0.5;85
" ";"2014";1.6;71
" ";"2015";1.4;106
" ";"2016";1.2;84
" ";"2017";0.2;79
"Radenci"
" ";"2002";5.1;145
" ";"2003";3.2;202
" ";"2004";5.3;147
" ";"2005";2.1;158
" ";"2006";0.9;162
" ";"2007";1.9;192
" ";"2008";18.6;266
" ";"2009";1.9;163
" ";"2010";2.1;136
" ";"2011";2.1;179
" ";"2012";2.1;169
" ";"2013";2.9;195
" ";"2014";1.7;158
" ";"2015";1.0;156
" ";"2016";1.0;128
" ";"2017";1.2;145
"Radlje ob Dravi"
" ";"2002";3.2;69
" ";"2003";4.6;82
" ";"2004";3.8;105
" ";"2005";1.3;88
" ";"2006";3.3;111
" ";"2007";1.3;140
" ";"2008";2.9;158
" ";"2009";3.0;175
" ";"2010";13.3;73
" ";"2011";2.4;126
" ";"2012";1.9;196
" ";"2013";3.2;128
" ";"2014";4.9;69
" ";"2015";0.8;142
" ";"2016";1.3;113
" ";"2017";1.8;147
"Radovljica"
" ";"2002";2.6;93
" ";"2003";2.6;117
" ";"2004";2.7;125
" ";"2005";3.0;150
" ";"2006";4.8;121
" ";"2007";2.2;175
" ";"2008";2.8;149
" ";"2009";1.4;187
" ";"2010";2.8;171
" ";"2011";2.5;191
" ";"2012";3.0;90
" ";"2013";6.5;92
" ";"2014";1.8;194
" ";"2015";1.2;150
" ";"2016";1.5;176
" ";"2017";1.3;136
"Ravne na Koroškem"
" ";"2002";3.8;88
" ";"2003";6.2;55
" ";"2004";3.9;76
" ";"2005";2.1;74
" ";"2006";2.3;104
" ";"2007";0.5;70
" ";"2008";0.8;125
" ";"2009";7.9;76
" ";"2010";1.0;166
" ";"2011";0.3;160
" ";"2012";1.0;139
" ";"2013";0.9;144
" ";"2014";0.9;142
" ";"2015";0.5;177
" ";"2016";0.9;137
" ";"2017";1.2;163
"Razkrižje"
" ";"2002";2.2;91
" ";"2003";3.7;67
" ";"2004";1.5;59
" ";"2005";3.7;119
" ";"2006";4.4;173
" ";"2007";3.7;103
" ";"2008";4.4;120
" ";"2009";0.7;146
" ";"2010";5.2;191
" ";"2011";0.7;105
" ";"2012";2.2;109
" ";"2013";2.2;170
" ";"2014";0.8;176
" ";"2015";0.0;0
" ";"2016";1.5;52
" ";"2017";1.6;96
"Reèica ob Savinji"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";0.4;123
" ";"2009";0.0;0
" ";"2010";0.4;170
" ";"2011";0.9;187
" ";"2012";0.4;112
" ";"2013";1.3;185
" ";"2014";2.1;149
" ";"2015";0.9;202
" ";"2016";1.3;178
" ";"2017";2.2;131
"Renèe - Vogrsko"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.2;90
" ";"2008";0.0;0
" ";"2009";7.0;134
" ";"2010";3.0;133
" ";"2011";1.4;180
" ";"2012";1.6;216
" ";"2013";3.3;152
" ";"2014";1.4;148
" ";"2015";2.8;122
" ";"2016";1.6;110
" ";"2017";1.2;162
"Ribnica"
" ";"2002";2.5;123
" ";"2003";2.9;175
" ";"2004";2.1;171
" ";"2005";2.7;84
" ";"2006";2.7;130
" ";"2007";2.5;156
" ";"2008";2.7;197
" ";"2009";2.5;158
" ";"2010";10.9;79
" ";"2011";2.3;186
" ";"2012";1.9;215
" ";"2013";1.4;228
" ";"2014";2.7;203
" ";"2015";1.9;192
" ";"2016";1.2;204
" ";"2017";1.1;207
"Ribnica na Pohorju"
" ";"2002";0.8;88
" ";"2003";2.4;95
" ";"2004";1.6;86
" ";"2005";0.0;0
" ";"2006";4.7;79
" ";"2007";9.5;63
" ";"2008";3.2;108
" ";"2009";2.4;106
" ";"2010";0.0;0
" ";"2011";0.0;0
" ";"2012";2.5;154
" ";"2013";4.2;47
" ";"2014";0.0;0
" ";"2015";6.8;107
" ";"2016";2.5;125
" ";"2017";0.8;220
"Rogaška Slatina"
" ";"2002";7.3;91
" ";"2003";3.6;111
" ";"2004";4.4;107
" ";"2005";2.9;121
" ";"2006";4.6;96
" ";"2007";4.1;95
" ";"2008";2.0;105
" ";"2009";2.2;129
" ";"2010";6.5;76
" ";"2011";3.3;127
" ";"2012";3.9;140
" ";"2013";3.9;159
" ";"2014";4.2;155
" ";"2015";3.2;138
" ";"2016";2.0;170
" ";"2017";2.4;123
"Rogašovci"
" ";"2002";1.5;105
" ";"2003";0.9;105
" ";"2004";1.2;99
" ";"2005";2.7;94
" ";"2006";1.2;127
" ";"2007";1.8;116
" ";"2008";1.8;101
" ";"2009";1.5;124
" ";"2010";2.2;117
" ";"2011";1.2;139
" ";"2012";0.9;98
" ";"2013";1.9;188
" ";"2014";2.2;177
" ";"2015";1.6;179
" ";"2016";2.6;129
" ";"2017";3.2;173
"Rogatec"
" ";"2002";3.4;83
" ";"2003";2.8;103
" ";"2004";3.4;105
" ";"2005";1.5;123
" ";"2006";1.5;76
" ";"2007";2.2;107
" ";"2008";1.0;120
" ";"2009";1.0;122
" ";"2010";2.2;106
" ";"2011";1.9;125
" ";"2012";1.0;128
" ";"2013";1.9;136
" ";"2014";0.3;137
" ";"2015";1.3;123
" ";"2016";1.9;170
" ";"2017";1.0;176
"Ruše"
" ";"2002";2.7;123
" ";"2003";6.3;80
" ";"2004";2.4;161
" ";"2005";9.6;66
" ";"2006";5.7;107
" ";"2007";3.5;144
" ";"2008";7.6;129
" ";"2009";10.6;82
" ";"2010";1.4;137
" ";"2011";3.2;153
" ";"2012";2.2;123
" ";"2013";1.8;126
" ";"2014";0.8;121
" ";"2015";1.4;135
" ";"2016";0.6;221
" ";"2017";0.3;136
"Selnica ob Dravi"
" ";"2002";2.0;106
" ";"2003";3.9;147
" ";"2004";1.1;190
" ";"2005";2.6;162
" ";"2006";1.3;245
" ";"2007";3.5;140
" ";"2008";5.1;169
" ";"2009";4.4;120
" ";"2010";2.7;142
" ";"2011";3.3;176
" ";"2012";1.8;139
" ";"2013";2.0;134
" ";"2014";2.9;141
" ";"2015";0.9;130
" ";"2016";2.4;151
" ";"2017";2.0;164
"Semiè"
" ";"2002";2.9;88
" ";"2003";2.9;60
" ";"2004";8.6;70
" ";"2005";2.1;60
" ";"2006";4.7;70
" ";"2007";2.8;81
" ";"2008";2.6;140
" ";"2009";1.3;143
" ";"2010";0.8;152
" ";"2011";1.3;137
" ";"2012";1.6;143
" ";"2013";1.8;123
" ";"2014";2.1;122
" ";"2015";1.1;192
" ";"2016";1.1;179
" ";"2017";1.3;186
"Sevnica"
" ";"2002";3.1;139
" ";"2003";3.5;129
" ";"2004";2.6;152
" ";"2005";2.5;164
" ";"2006";2.4;135
" ";"2007";5.2;123
" ";"2008";3.2;123
" ";"2009";1.4;134
" ";"2010";2.2;142
" ";"2011";3.0;162
" ";"2012";1.9;123
" ";"2013";1.7;158
" ";"2014";1.9;153
" ";"2015";1.8;145
" ";"2016";2.2;166
" ";"2017";2.1;161
"Sežana"
" ";"2002";3.2;141
" ";"2003";1.4;132
" ";"2004";2.2;128
" ";"2005";7.1;96
" ";"2006";4.8;98
" ";"2007";9.5;108
" ";"2008";5.1;98
" ";"2009";3.6;104
" ";"2010";3.6;159
" ";"2011";2.6;163
" ";"2012";2.3;176
" ";"2013";3.1;198
" ";"2014";1.2;194
" ";"2015";1.3;149
" ";"2016";1.6;188
" ";"2017";1.6;150
"Slovenj Gradec"
" ";"2002";5.0;104
" ";"2003";4.0;106
" ";"2004";2.2;126
" ";"2005";2.8;136
" ";"2006";3.7;116
" ";"2007";0.6;195
" ";"2008";3.5;124
" ";"2009";4.1;141
" ";"2010";1.8;179
" ";"2011";1.4;280
" ";"2012";1.2;198
" ";"2013";1.4;202
" ";"2014";0.9;185
" ";"2015";1.2;169
" ";"2016";1.3;171
" ";"2017";1.3;172
"Slovenska Bistrica"
" ";"2002";4.4;157
" ";"2003";3.3;165
" ";"2004";5.1;113
" ";"2005";3.6;154
" ";"2006";8.1;109
" ";"2007";7.0;133
" ";"2008";7.6;157
" ";"2009";8.5;139
" ";"2010";5.9;167
" ";"2011";9.6;89
" ";"2012";3.5;166
" ";"2013";2.3;155
" ";"2014";3.2;129
" ";"2015";1.9;172
" ";"2016";2.3;122
" ";"2017";1.9;144
"Slovenske Konjice"
" ";"2002";4.1;156
" ";"2003";3.2;162
" ";"2004";2.7;173
" ";"2005";3.1;128
" ";"2006";4.9;144
" ";"2007";4.7;136
" ";"2008";6.1;151
" ";"2009";4.3;148
" ";"2010";5.9;126
" ";"2011";6.9;112
" ";"2012";3.3;177
" ";"2013";5.2;95
" ";"2014";1.4;177
" ";"2015";2.1;192
" ";"2016";1.5;168
" ";"2017";2.0;156
"Sodražica"
" ";"2002";10.2;77
" ";"2003";6.9;58
" ";"2004";4.6;157
" ";"2005";0.9;148
" ";"2006";2.7;162
" ";"2007";3.7;195
" ";"2008";5.1;166
" ";"2009";3.7;189
" ";"2010";4.1;204
" ";"2011";2.3;188
" ";"2012";2.7;233
" ";"2013";2.3;171
" ";"2014";2.3;173
" ";"2015";2.3;176
" ";"2016";1.8;267
" ";"2017";3.2;122
"Solèava"
" ";"2002";3.6;93
" ";"2003";1.8;137
" ";"2004";0.0;0
" ";"2005";1.8;126
" ";"2006";1.8;191
" ";"2007";0.0;0
" ";"2008";0.0;0
" ";"2009";2.0;250
" ";"2010";0.0;0
" ";"2011";1.9;185
" ";"2012";0.0;0
" ";"2013";0.0;0
" ";"2014";1.9;146
" ";"2015";0.0;0
" ";"2016";1.9;82
" ";"2017";1.9;135
"Središèe ob Dravi"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";0.0;0
" ";"2009";0.0;0
" ";"2010";0.0;0
" ";"2011";1.4;96
" ";"2012";0.9;171
" ";"2013";0.0;0
" ";"2014";1.9;107
" ";"2015";1.0;153
" ";"2016";2.0;126
" ";"2017";2.5;143
"Starše"
" ";"2002";2.8;136
" ";"2003";2.0;146
" ";"2004";3.7;135
" ";"2005";3.0;128
" ";"2006";3.7;185
" ";"2007";2.7;113
" ";"2008";5.9;88
" ";"2009";5.1;168
" ";"2010";3.1;174
" ";"2011";3.4;145
" ";"2012";2.4;172
" ";"2013";1.2;185
" ";"2014";1.5;152
" ";"2015";1.7;152
" ";"2016";1.7;150
" ";"2017";2.5;135
"Straža"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.5;93
" ";"2008";0.0;0
" ";"2009";0.3;122
" ";"2010";1.3;158
" ";"2011";0.3;64
" ";"2012";0.8;107
" ";"2013";0.5;126
" ";"2014";0.8;111
" ";"2015";0.3;164
" ";"2016";1.3;181
" ";"2017";3.1;180
"Sveta Ana"
" ";"2002";7.6;112
" ";"2003";4.2;174
" ";"2004";3.0;235
" ";"2005";3.8;195
" ";"2006";2.5;204
" ";"2007";3.4;182
" ";"2008";2.5;168
" ";"2009";3.0;90
" ";"2010";3.8;186
" ";"2011";3.4;163
" ";"2012";4.7;193
" ";"2013";6.0;181
" ";"2014";2.6;187
" ";"2015";1.7;216
" ";"2016";9.1;119
" ";"2017";4.4;200
"Sveta Trojica v Slov. goricah"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.4;114
" ";"2008";0.5;127
" ";"2009";0.9;179
" ";"2010";4.3;166
" ";"2011";4.3;177
" ";"2012";3.3;229
" ";"2013";2.9;126
" ";"2014";2.9;160
" ";"2015";4.8;155
" ";"2016";2.4;199
" ";"2017";2.4;259
"Sveti Andraž v Slov. goricah"
" ";"2002";4.7;80
" ";"2003";1.6;118
" ";"2004";0.8;100
" ";"2005";0.8;75
" ";"2006";4.0;131
" ";"2007";0.8;160
" ";"2008";0.8;60
" ";"2009";2.5;139
" ";"2010";0.0;0
" ";"2011";6.7;162
" ";"2012";0.0;0
" ";"2013";0.0;0
" ";"2014";0.9;120
" ";"2015";0.9;120
" ";"2016";5.2;111
" ";"2017";2.6;260
"Sveti Jurij ob Šèavnici"
" ";"2002";5.2;157
" ";"2003";5.2;193
" ";"2004";5.8;154
" ";"2005";6.2;146
" ";"2006";3.1;135
" ";"2007";3.7;139
" ";"2008";2.1;161
" ";"2009";4.5;208
" ";"2010";4.1;196
" ";"2011";2.8;214
" ";"2012";2.4;241
" ";"2013";2.8;144
" ";"2014";4.5;173
" ";"2015";2.8;110
" ";"2016";3.2;128
" ";"2017";3.2;164
"Sveti Jurij v Slov. goricah"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.9;142
" ";"2008";0.9;95
" ";"2009";8.0;128
" ";"2010";2.4;175
" ";"2011";3.3;186
" ";"2012";3.3;127
" ";"2013";5.7;132
" ";"2014";3.9;189
" ";"2015";2.4;262
" ";"2016";1.9;179
" ";"2017";1.9;155
"Sveti Tomaž"
" ";"2002";...;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";0.5;52
" ";"2009";0.0;0
" ";"2010";2.4;112
" ";"2011";2.8;94
" ";"2012";3.8;110
" ";"2013";1.4;126
" ";"2014";1.9;109
" ";"2015";3.4;101
" ";"2016";3.0;76
" ";"2017";2.5;139
"Šalovci"
" ";"2002";3.9;115
" ";"2003";3.4;88
" ";"2004";4.0;115
" ";"2005";2.9;125
" ";"2006";13.5;75
" ";"2007";1.8;181
" ";"2008";2.5;95
" ";"2009";3.1;109
" ";"2010";1.9;131
" ";"2011";3.2;182
" ";"2012";0.7;135
" ";"2013";0.0;0
" ";"2014";2.0;131
" ";"2015";2.1;127
" ";"2016";1.4;147
" ";"2017";2.8;143
"Šempeter - Vrtojba"
" ";"2002";3.3;119
" ";"2003";4.4;91
" ";"2004";4.2;113
" ";"2005";3.1;96
" ";"2006";3.9;102
" ";"2007";2.5;129
" ";"2008";5.9;83
" ";"2009";2.4;101
" ";"2010";9.9;45
" ";"2011";1.1;165
" ";"2012";0.8;153
" ";"2013";0.3;270
" ";"2014";1.1;156
" ";"2015";1.0;174
" ";"2016";1.6;134
" ";"2017";1.3;121
"Šenèur"
" ";"2002";4.3;104
" ";"2003";4.8;116
" ";"2004";2.5;128
" ";"2005";2.9;200
" ";"2006";4.0;170
" ";"2007";8.4;124
" ";"2008";3.2;221
" ";"2009";3.8;147
" ";"2010";2.6;232
" ";"2011";2.8;150
" ";"2012";2.1;203
" ";"2013";1.8;211
" ";"2014";1.3;160
" ";"2015";1.6;158
" ";"2016";1.3;213
" ";"2017";1.0;101
"Šentilj"
" ";"2002";2.9;115
" ";"2003";2.1;113
" ";"2004";4.0;150
" ";"2005";2.4;112
" ";"2006";3.4;116
" ";"2007";3.7;124
" ";"2008";7.0;162
" ";"2009";3.6;160
" ";"2010";13.1;116
" ";"2011";4.1;164
" ";"2012";3.3;122
" ";"2013";3.3;142
" ";"2014";1.7;164
" ";"2015";1.8;153
" ";"2016";1.8;175
" ";"2017";1.2;141
"Šentjernej"
" ";"2002";2.7;159
" ";"2003";1.7;111
" ";"2004";1.5;106
" ";"2005";2.7;138
" ";"2006";2.7;127
" ";"2007";2.7;143
" ";"2008";1.2;128
" ";"2009";1.0;186
" ";"2010";1.3;180
" ";"2011";1.6;146
" ";"2012";1.6;131
" ";"2013";2.4;155
" ";"2014";2.7;167
" ";"2015";4.0;136
" ";"2016";3.6;161
" ";"2017";3.7;158
"Šentjur"
" ";"2002";3.7;157
" ";"2003";2.9;101
" ";"2004";3.1;81
" ";"2005";3.3;89
" ";"2006";5.0;124
" ";"2007";4.5;175
" ";"2008";3.2;175
" ";"2009";3.5;148
" ";"2010";3.6;184
" ";"2011";3.2;201
" ";"2012";2.5;181
" ";"2013";1.9;165
" ";"2014";2.4;145
" ";"2015";1.7;142
" ";"2016";1.7;142
" ";"2017";1.9;169
"Šentrupert"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";0.0;0
" ";"2009";0.7;123
" ";"2010";1.1;210
" ";"2011";1.8;245
" ";"2012";2.1;242
" ";"2013";3.1;160
" ";"2014";2.1;189
" ";"2015";5.8;176
" ";"2016";2.7;181
" ";"2017";5.9;149
"Škocjan"
" ";"2002";4.3;134
" ";"2003";2.9;103
" ";"2004";2.6;147
" ";"2005";2.5;141
" ";"2006";2.8;149
" ";"2007";1.6;151
" ";"2008";2.2;181
" ";"2009";1.9;200
" ";"2010";2.8;155
" ";"2011";0.9;101
" ";"2012";1.3;144
" ";"2013";2.5;158
" ";"2014";0.9;165
" ";"2015";3.7;146
" ";"2016";1.5;128
" ";"2017";2.5;141
"Škofja Loka"
" ";"2002";1.8;155
" ";"2003";2.4;132
" ";"2004";3.1;142
" ";"2005";2.7;138
" ";"2006";2.2;172
" ";"2007";5.1;107
" ";"2008";7.6;123
" ";"2009";3.8;176
" ";"2010";4.4;177
" ";"2011";2.1;215
" ";"2012";2.0;229
" ";"2013";3.8;128
" ";"2014";1.9;208
" ";"2015";2.2;208
" ";"2016";1.4;191
" ";"2017";1.2;214
"Škofljica"
" ";"2002";7.6;139
" ";"2003";3.5;180
" ";"2004";3.2;120
" ";"2005";3.6;140
" ";"2006";5.0;161
" ";"2007";4.9;175
" ";"2008";39.6;93
" ";"2009";5.9;135
" ";"2010";3.3;126
" ";"2011";1.0;170
" ";"2012";5.5;97
" ";"2013";1.6;144
" ";"2014";5.9;64
" ";"2015";0.9;209
" ";"2016";0.8;210
" ";"2017";1.7;173
"Šmarje pri Jelšah"
" ";"2002";3.6;91
" ";"2003";5.2;99
" ";"2004";4.2;112
" ";"2005";3.8;91
" ";"2006";3.4;104
" ";"2007";8.2;87
" ";"2008";2.7;116
" ";"2009";7.5;71
" ";"2010";3.4;114
" ";"2011";3.3;135
" ";"2012";3.8;109
" ";"2013";2.9;150
" ";"2014";2.4;134
" ";"2015";2.6;144
" ";"2016";2.0;125
" ";"2017";1.1;143
"Šmarješke Toplice"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";1.3;169
" ";"2008";1.3;166
" ";"2009";0.3;110
" ";"2010";2.5;145
" ";"2011";2.8;158
" ";"2012";0.6;163
" ";"2013";1.5;137
" ";"2014";1.2;245
" ";"2015";3.4;134
" ";"2016";2.7;145
" ";"2017";4.3;179
"Šmartno ob Paki"
" ";"2002";5.8;148
" ";"2003";3.4;164
" ";"2004";3.4;130
" ";"2005";2.3;119
" ";"2006";1.3;135
" ";"2007";14.5;87
" ";"2008";3.2;165
" ";"2009";8.7;101
" ";"2010";3.5;172
" ";"2011";4.7;144
" ";"2012";4.3;168
" ";"2013";3.7;172
" ";"2014";1.5;184
" ";"2015";4.0;111
" ";"2016";3.4;124
" ";"2017";2.5;152
"Šmartno pri Litiji"
" ";"2002";-;-
" ";"2003";4.6;141
" ";"2004";0.4;80
" ";"2005";1.0;142
" ";"2006";1.3;148
" ";"2007";1.5;129
" ";"2008";3.1;177
" ";"2009";7.4;109
" ";"2010";5.2;112
" ";"2011";5.7;124
" ";"2012";3.3;140
" ";"2013";1.3;184
" ";"2014";2.9;176
" ";"2015";2.2;106
" ";"2016";1.3;180
" ";"2017";2.3;182
"Šoštanj"
" ";"2002";7.6;75
" ";"2003";3.9;138
" ";"2004";3.5;152
" ";"2005";2.0;149
" ";"2006";2.1;153
" ";"2007";1.4;100
" ";"2008";5.7;78
" ";"2009";2.6;157
" ";"2010";1.8;184
" ";"2011";2.6;158
" ";"2012";2.4;180
" ";"2013";1.1;162
" ";"2014";2.9;175
" ";"2015";2.6;141
" ";"2016";1.3;168
" ";"2017";2.6;103
"Štore"
" ";"2002";0.7;81
" ";"2003";0.5;134
" ";"2004";1.9;167
" ";"2005";4.6;99
" ";"2006";1.4;124
" ";"2007";6.3;92
" ";"2008";1.0;216
" ";"2009";1.6;190
" ";"2010";1.2;213
" ";"2011";1.2;157
" ";"2012";1.4;188
" ";"2013";1.2;174
" ";"2014";0.9;228
" ";"2015";0.2;82
" ";"2016";1.7;199
" ";"2017";0.5;192
"Tabor"
" ";"2002";2.6;107
" ";"2003";2.0;157
" ";"2004";0.0;0
" ";"2005";1.3;124
" ";"2006";1.3;178
" ";"2007";4.0;103
" ";"2008";9.2;113
" ";"2009";17.3;113
" ";"2010";6.5;171
" ";"2011";3.1;183
" ";"2012";3.1;198
" ";"2013";1.2;116
" ";"2014";3.7;171
" ";"2015";1.2;204
" ";"2016";1.2;165
" ";"2017";1.2;220
"Tišina"
" ";"2002";2.3;98
" ";"2003";1.2;173
" ";"2004";1.2;106
" ";"2005";1.9;148
" ";"2006";2.6;95
" ";"2007";3.0;144
" ";"2008";1.9;124
" ";"2009";2.4;169
" ";"2010";4.3;147
" ";"2011";1.4;131
" ";"2012";1.5;142
" ";"2013";1.2;179
" ";"2014";2.4;121
" ";"2015";1.0;156
" ";"2016";4.5;106
" ";"2017";2.8;160
"Tolmin"
" ";"2002";3.3;162
" ";"2003";2.6;155
" ";"2004";2.1;185
" ";"2005";1.5;152
" ";"2006";1.6;159
" ";"2007";1.6;165
" ";"2008";1.8;127
" ";"2009";3.2;119
" ";"2010";1.4;133
" ";"2011";1.7;123
" ";"2012";4.6;80
" ";"2013";1.0;141
" ";"2014";1.7;212
" ";"2015";0.8;144
" ";"2016";2.0;198
" ";"2017";1.8;164
"Trbovlje"
" ";"2002";0.8;154
" ";"2003";0.7;137
" ";"2004";0.7;188
" ";"2005";2.0;82
" ";"2006";1.3;119
" ";"2007";0.5;170
" ";"2008";0.6;239
" ";"2009";0.6;240
" ";"2010";0.3;217
" ";"2011";2.2;87
" ";"2012";0.4;206
" ";"2013";0.4;135
" ";"2014";0.4;139
" ";"2015";0.3;144
" ";"2016";1.5;96
" ";"2017";0.4;153
"Trebnje"
" ";"2002";6.1;106
" ";"2003";4.7;106
" ";"2004";5.9;105
" ";"2005";6.9;108
" ";"2006";3.8;115
" ";"2007";11.6;87
" ";"2008";6.8;184
" ";"2009";4.9;149
" ";"2010";3.2;168
" ";"2011";4.0;195
" ";"2012";2.6;210
" ";"2013";2.9;188
" ";"2014";1.5;194
" ";"2015";1.8;160
" ";"2016";2.7;201
" ";"2017";3.1;184
"Trnovska vas"
" ";"2002";0.8;117
" ";"2003";9.5;98
" ";"2004";3.2;93
" ";"2005";3.9;131
" ";"2006";3.1;141
" ";"2007";0.8;239
" ";"2008";3.0;148
" ";"2009";2.3;190
" ";"2010";0.7;26
" ";"2011";4.5;172
" ";"2012";2.9;191
" ";"2013";0.7;117
" ";"2014";0.8;191
" ";"2015";0.8;141
" ";"2016";2.2;135
" ";"2017";1.5;148
"Trzin"
" ";"2002";35.3;66
" ";"2003";0.3;175
