"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
" ";"2006";2.0;212
" ";"2007";3.3;189
" ";"2008";4.7;126
" ";"2009";2.9;183
" ";"2010";2.9;200
" ";"2011";2.7;179
" ";"2012";2.6;199
" ";"2013";1.7;190
" ";"2014";2.1;179
" ";"2015";1.3;203
" ";"2016";1.3;198
" ";"2017";2.2;182
"Cerkno"
" ";"2002";2.9;137
" ";"2003";1.4;128
" ";"2004";2.6;117
" ";"2005";0.6;103
" ";"2006";2.8;137
" ";"2007";1.4;182
" ";"2008";1.2;145
" ";"2009";1.5;186
" ";"2010";1.7;155
" ";"2011";2.3;151
" ";"2012";1.3;161
" ";"2013";0.4;232
" ";"2014";2.8;157
" ";"2015";1.3;164
" ";"2016";2.4;180
" ";"2017";3.0;208
"Cerkvenjak"
" ";"2002";4.7;145
" ";"2003";3.7;136
" ";"2004";7.1;165
" ";"2005";5.2;188
" ";"2006";5.2;197
" ";"2007";3.3;173
" ";"2008";5.8;206
" ";"2009";4.4;118
" ";"2010";4.4;147
" ";"2011";11.5;129
" ";"2012";2.5;149
" ";"2013";4.0;149
" ";"2014";2.0;170
" ";"2015";1.9;181
" ";"2016";4.9;134
" ";"2017";2.9;253
"Cirkulane"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";0.0;0
" ";"2009";0.0;0
" ";"2010";1.7;107
" ";"2011";2.2;164
" ";"2012";0.4;166
" ";"2013";0.0;0
" ";"2014";0.4;64
" ";"2015";1.3;107
" ";"2016";2.2;90
" ";"2017";1.3;65
"Èrenšovci"
" ";"2002";3.7;171
" ";"2003";1.8;135
" ";"2004";3.2;223
" ";"2005";1.4;188
" ";"2006";1.8;164
" ";"2007";4.4;153
" ";"2008";4.3;133
" ";"2009";5.5;135
" ";"2010";2.9;183
" ";"2011";2.9;166
" ";"2012";2.7;139
" ";"2013";4.7;196
" ";"2014";2.2;156
" ";"2015";1.3;119
" ";"2016";4.5;118
" ";"2017";0.8;75
"Èrna na Koroškem"
" ";"2002";4.3;60
" ";"2003";1.9;77
" ";"2004";1.6;81
" ";"2005";1.1;65
" ";"2006";3.4;54
" ";"2007";0.0;0
" ";"2008";0.5;184
" ";"2009";0.8;187
" ";"2010";0.6;120
" ";"2011";2.0;110
" ";"2012";0.3;195
" ";"2013";1.2;143
" ";"2014";0.9;154
" ";"2015";0.6;120
" ";"2016";1.8;177
" ";"2017";1.5;119
"Èrnomelj"
" ";"2002";1.9;70
" ";"2003";1.5;58
" ";"2004";4.1;79
" ";"2005";0.7;87
" ";"2006";3.5;74
" ";"2007";1.2;117
" ";"2008";2.2;97
" ";"2009";2.0;122
" ";"2010";1.8;133
" ";"2011";1.7;148
" ";"2012";5.0;70
" ";"2013";1.8;145
" ";"2014";0.8;102
" ";"2015";1.6;92
" ";"2016";1.0;149
" ";"2017";0.8;179
"Destrnik"
" ";"2002";2.7;141
" ";"2003";5.0;102
" ";"2004";3.8;148
" ";"2005";3.0;139
" ";"2006";3.4;128
" ";"2007";1.5;166
" ";"2008";3.7;136
" ";"2009";1.1;80
" ";"2010";0.8;277
" ";"2011";3.0;157
" ";"2012";1.9;170
" ";"2013";1.5;174
" ";"2014";0.8;202
" ";"2015";1.2;88
" ";"2016";2.7;109
" ";"2017";1.6;205
"Divaèa"
" ";"2002";3.3;138
" ";"2003";5.4;117
" ";"2004";2.8;115
" ";"2005";1.3;83
" ";"2006";4.1;135
" ";"2007";16.8;115
" ";"2008";6.8;129
" ";"2009";3.1;155
" ";"2010";3.1;213
" ";"2011";2.1;136
" ";"2012";1.5;202
" ";"2013";2.5;200
" ";"2014";2.3;174
" ";"2015";1.8;212
" ";"2016";2.0;198
" ";"2017";0.5;160
"Dobje"
" ";"2002";2.0;95
" ";"2003";6.0;149
" ";"2004";5.9;108
" ";"2005";4.0;104
" ";"2006";4.9;83
" ";"2007";5.0;175
" ";"2008";1.0;258
" ";"2009";0.0;0
" ";"2010";4.1;180
" ";"2011";3.1;177
" ";"2012";3.1;96
" ";"2013";6.2;157
" ";"2014";1.0;181
" ";"2015";2.0;113
" ";"2016";1.0;154
" ";"2017";3.1;208
"Dobrepolje"
" ";"2002";5.3;122
" ";"2003";3.6;137
" ";"2004";2.7;185
" ";"2005";2.4;164
" ";"2006";8.1;96
" ";"2007";3.5;204
" ";"2008";6.4;155
" ";"2009";13.6;89
" ";"2010";4.6;145
" ";"2011";3.8;193
" ";"2012";2.5;154
" ";"2013";1.5;156
" ";"2014";1.8;167
" ";"2015";1.3;207
" ";"2016";2.8;193
" ";"2017";1.0;199
"Dobrna"
" ";"2002";1.4;109
" ";"2003";5.7;148
" ";"2004";1.9;96
" ";"2005";2.9;137
" ";"2006";2.4;127
" ";"2007";3.3;157
" ";"2008";1.9;155
" ";"2009";2.8;155
" ";"2010";2.3;177
" ";"2011";4.1;178
" ";"2012";1.4;240
" ";"2013";1.8;201
" ";"2014";1.4;165
" ";"2015";0.9;113
" ";"2016";1.8;145
" ";"2017";2.3;169
"Dobrova - Polhov Gradec"
" ";"2002";3.5;114
" ";"2003";1.0;178
" ";"2004";1.5;157
" ";"2005";1.0;166
" ";"2006";2.6;199
" ";"2007";2.7;166
" ";"2008";2.9;158
" ";"2009";1.5;174
" ";"2010";1.1;188
" ";"2011";0.9;247
" ";"2012";1.2;195
" ";"2013";1.5;184
" ";"2014";2.7;167
" ";"2015";0.9;171
" ";"2016";2.0;191
" ";"2017";1.3;163
"Dobrovnik/Dobronak"
" ";"2002";2.9;191
" ";"2003";2.9;202
" ";"2004";3.6;187
" ";"2005";0.7;211
" ";"2006";2.2;174
" ";"2007";0.7;227
" ";"2008";0.0;0
" ";"2009";3.0;149
" ";"2010";3.0;144
" ";"2011";0.7;70
" ";"2012";0.0;0
" ";"2013";0.8;175
" ";"2014";3.1;91
" ";"2015";2.4;88
" ";"2016";1.6;104
" ";"2017";3.9;92
"Dol pri Ljubljani"
" ";"2002";4.1;116
" ";"2003";2.9;128
" ";"2004";13.0;84
" ";"2005";3.8;132
" ";"2006";6.2;136
" ";"2007";10.6;81
" ";"2008";7.5;91
" ";"2009";32.9;90
" ";"2010";3.0;155
" ";"2011";2.5;195
" ";"2012";3.0;179
" ";"2013";1.9;168
" ";"2014";0.7;237
" ";"2015";0.8;137
" ";"2016";0.5;183
" ";"2017";6.4;105
"Dolenjske Toplice"
" ";"2002";2.4;125
" ";"2003";0.9;108
" ";"2004";0.3;283
" ";"2005";0.6;119
" ";"2006";0.3;90
" ";"2007";3.8;192
" ";"2008";1.5;163
" ";"2009";1.8;152
" ";"2010";1.5;120
" ";"2011";1.5;145
" ";"2012";1.8;151
" ";"2013";1.8;157
" ";"2014";0.3;98
" ";"2015";1.5;144
" ";"2016";1.5;249
" ";"2017";1.7;170
"Domžale"
" ";"2002";5.7;100
" ";"2003";1.1;116
" ";"2004";6.7;97
" ";"2005";1.7;145
" ";"2006";4.2;107
" ";"2007";4.2;92
" ";"2008";3.8;127
" ";"2009";2.3;111
" ";"2010";4.1;98
" ";"2011";1.0;152
" ";"2012";0.7;164
" ";"2013";1.0;156
" ";"2014";1.0;163
" ";"2015";0.9;151
" ";"2016";0.9;175
" ";"2017";0.9;161
"Dornava"
" ";"2002";2.2;103
" ";"2003";3.0;171
" ";"2004";3.4;122
" ";"2005";0.7;113
" ";"2006";3.0;103
" ";"2007";1.5;84
" ";"2008";2.4;107
" ";"2009";7.1;68
" ";"2010";2.0;103
" ";"2011";1.7;156
" ";"2012";2.7;154
" ";"2013";0.7;66
" ";"2014";1.7;142
" ";"2015";1.7;124
" ";"2016";2.8;173
" ";"2017";3.8;108
"Dravograd"
" ";"2002";5.4;96
" ";"2003";5.3;112
" ";"2004";5.9;93
" ";"2005";1.6;106
" ";"2006";5.3;90
" ";"2007";2.6;80
" ";"2008";2.3;119
" ";"2009";3.3;88
" ";"2010";2.4;124
" ";"2011";1.3;137
" ";"2012";1.8;96
" ";"2013";2.2;125
" ";"2014";1.7;142
" ";"2015";1.7;103
" ";"2016";0.9;182
" ";"2017";0.8;134
"Duplek"
" ";"2002";3.3;160
" ";"2003";2.6;126
" ";"2004";5.1;115
" ";"2005";4.4;131
" ";"2006";5.9;128
" ";"2007";19.6;78
" ";"2008";16.8;83
" ";"2009";11.2;158
" ";"2010";3.8;164
" ";"2011";3.7;179
" ";"2012";5.2;170
" ";"2013";2.5;117
" ";"2014";1.2;177
" ";"2015";2.1;175
" ";"2016";1.8;141
" ";"2017";1.2;131
"Gorenja vas - Poljane"
" ";"2002";4.0;154
" ";"2003";5.0;135
" ";"2004";5.4;143
" ";"2005";4.0;135
" ";"2006";4.2;176
" ";"2007";2.5;140
" ";"2008";3.1;176
" ";"2009";2.6;222
" ";"2010";5.6;120
" ";"2011";4.0;267
" ";"2012";2.9;200
" ";"2013";1.8;253
" ";"2014";3.9;240
" ";"2015";1.6;207
" ";"2016";2.4;175
" ";"2017";0.5;190
"Gorišnica"
" ";"2002";4.7;82
" ";"2003";2.6;75
" ";"2004";4.2;108
" ";"2005";3.1;88
" ";"2006";5.0;85
" ";"2007";3.1;100
" ";"2008";2.6;118
" ";"2009";3.3;179
" ";"2010";1.0;176
" ";"2011";2.0;121
" ";"2012";0.2;146
" ";"2013";0.7;288
" ";"2014";1.8;131
" ";"2015";0.3;201
" ";"2016";3.0;140
" ";"2017";3.8;148
"Gorje"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.3;153
" ";"2008";0.3;216
" ";"2009";0.0;0
" ";"2010";4.4;138
" ";"2011";2.7;174
" ";"2012";0.7;122
" ";"2013";2.4;203
" ";"2014";1.1;134
" ";"2015";2.1;196
" ";"2016";0.0;0
" ";"2017";0.7;179
"Gornja Radgona"
" ";"2002";5.1;128
" ";"2003";2.6;208
" ";"2004";3.1;165
" ";"2005";2.6;160
" ";"2006";3.2;168
" ";"2007";2.8;188
" ";"2008";3.1;188
" ";"2009";4.1;174
" ";"2010";3.3;160
" ";"2011";3.0;189
" ";"2012";4.2;194
" ";"2013";2.6;166
" ";"2014";1.5;190
" ";"2015";1.4;191
" ";"2016";1.8;199
" ";"2017";1.5;187
"Gornji Grad"
" ";"2002";1.9;172
" ";"2003";0.8;135
" ";"2004";1.1;102
" ";"2005";0.4;210
" ";"2006";1.2;212
" ";"2007";2.3;144
" ";"2008";0.4;208
" ";"2009";2.6;113
" ";"2010";2.2;166
" ";"2011";1.9;199
" ";"2012";1.1;200
" ";"2013";1.5;201
" ";"2014";0.0;0
" ";"2015";0.4;159
" ";"2016";1.2;221
" ";"2017";0.4;232
"Gornji Petrovci"
" ";"2002";9.9;77
" ";"2003";1.3;105
" ";"2004";1.7;108
" ";"2005";1.3;110
" ";"2006";2.2;121
" ";"2007";2.2;84
" ";"2008";3.1;161
" ";"2009";2.3;145
" ";"2010";4.6;97
" ";"2011";5.1;143
" ";"2012";1.9;77
" ";"2013";1.9;98
" ";"2014";1.0;108
" ";"2015";1.9;125
" ";"2016";0.5;68
" ";"2017";1.5;178
"Grad"
" ";"2002";2.5;71
" ";"2003";0.8;66
" ";"2004";0.8;205
" ";"2005";1.3;130
" ";"2006";2.1;79
" ";"2007";2.6;89
" ";"2008";2.2;138
" ";"2009";1.8;90
" ";"2010";1.3;112
" ";"2011";2.7;141
" ";"2012";0.5;203
" ";"2013";1.8;123
" ";"2014";3.2;125
" ";"2015";1.8;131
" ";"2016";4.2;206
" ";"2017";1.4;103
"Grosuplje"
" ";"2002";4.7;159
" ";"2003";3.6;167
" ";"2004";4.7;149
" ";"2005";6.5;150
" ";"2006";25.3;109
" ";"2007";4.0;134
" ";"2008";3.6;194
" ";"2009";4.2;162
" ";"2010";3.6;191
" ";"2011";2.7;208
" ";"2012";2.0;209
" ";"2013";1.6;220
" ";"2014";1.4;204
" ";"2015";1.5;165
" ";"2016";2.0;206
" ";"2017";1.9;163
"Hajdina"
" ";"2002";3.5;80
" ";"2003";2.4;130
" ";"2004";3.3;138
" ";"2005";6.2;107
" ";"2006";4.0;96
" ";"2007";1.1;170
" ";"2008";1.1;139
" ";"2009";3.2;169
" ";"2010";0.8;147
" ";"2011";4.8;98
" ";"2012";1.3;133
" ";"2013";1.3;119
" ";"2014";1.1;93
" ";"2015";1.3;146
" ";"2016";2.2;121
" ";"2017";2.9;128
"Hoèe - Slivnica"
" ";"2002";3.3;139
" ";"2003";3.8;134
" ";"2004";5.4;121
" ";"2005";11.1;108
" ";"2006";5.6;108
" ";"2007";10.1;129
" ";"2008";12.8;123
" ";"2009";4.0;158
" ";"2010";3.1;141
" ";"2011";6.9;189
" ";"2012";4.9;105
" ";"2013";2.7;141
" ";"2014";2.5;162
" ";"2015";3.0;118
" ";"2016";1.6;158
" ";"2017";3.6;110
"Hodoš/Hodos"
" ";"2002";5.6;58
" ";"2003";5.7;64
" ";"2004";5.9;83
" ";"2005";2.9;105
" ";"2006";0.0;0
" ";"2007";0.0;0
" ";"2008";6.2;84
" ";"2009";0.0;0
" ";"2010";0.0;0
" ";"2011";0.0;0
" ";"2012";0.0;0
" ";"2013";2.8;185
" ";"2014";2.7;50
" ";"2015";0.0;0
" ";"2016";0.0;0
" ";"2017";0.0;0
"Horjul"
" ";"2002";1.5;104
" ";"2003";0.4;226
" ";"2004";1.1;95
" ";"2005";1.5;129
" ";"2006";1.9;190
" ";"2007";0.7;251
" ";"2008";0.7;249
" ";"2009";1.4;199
" ";"2010";0.3;240
" ";"2011";1.0;231
" ";"2012";1.0;230
" ";"2013";1.0;135
" ";"2014";0.0;0
" ";"2015";1.0;209
" ";"2016";0.0;0
" ";"2017";2.7;206
"Hrastnik"
" ";"2002";1.0;75
" ";"2003";4.6;69
" ";"2004";1.4;74
" ";"2005";0.6;97
" ";"2006";2.0;78
" ";"2007";1.3;124
" ";"2008";0.6;110
" ";"2009";1.4;155
" ";"2010";0.6;140
" ";"2011";0.6;231
" ";"2012";0.3;135
" ";"2013";2.2;91
" ";"2014";1.3;240
" ";"2015";0.9;182
" ";"2016";0.2;174
" ";"2017";0.5;119
"Hrpelje - Kozina"
" ";"2002";3.1;148
" ";"2003";3.8;123
" ";"2004";2.4;85
" ";"2005";4.2;111
" ";"2006";3.9;140
" ";"2007";11.6;93
" ";"2008";50.4;77
" ";"2009";6.5;149
" ";"2010";10.0;101
" ";"2011";3.3;149
" ";"2012";3.0;146
" ";"2013";2.8;169
" ";"2014";0.7;189
" ";"2015";1.1;131
" ";"2016";3.0;152
" ";"2017";4.1;108
"Idrija"
" ";"2002";1.7;125
" ";"2003";1.3;159
" ";"2004";2.5;125
" ";"2005";2.8;114
" ";"2006";1.7;143
" ";"2007";2.6;148
" ";"2008";1.1;122
" ";"2009";1.5;177
" ";"2010";2.3;151
" ";"2011";1.7;172
" ";"2012";0.8;208
" ";"2013";1.0;175
" ";"2014";1.2;199
" ";"2015";1.6;188
" ";"2016";0.8;149
" ";"2017";1.5;187
"Ig"
" ";"2002";5.3;103
" ";"2003";2.3;131
" ";"2004";3.9;124
" ";"2005";3.6;96
