Prebivalstvo po: SPOL, STATISTIÈNA REGIJA, LETO , STAROST;;;;
;;;;
Spol - SKUPAJ;;;;
 ; ; ;Starost - SKUPAJ;75544
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;75359
 ;Jugovzhodna Slovenija;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;137926
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;138098
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;138380
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;138644
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;138848
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;139095
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;139747
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;140258
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;141547
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;141166
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;142092
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;142483
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;142680
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;142509
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;142405
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;142373
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;142566
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;142711
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;142819
 ;Osrednjeslovenska;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;487789
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;490148
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;492117
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;493432
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;495101
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;496675
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;500021
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;503935
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;508607
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;521965
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;529646
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;533213
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;536484
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;541718
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;546314
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;534518
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;537023
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;539672
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;542306
 ;Gorenjska;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;196477
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;196701
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;197277
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;197648
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;197834
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;198342
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;199085
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;199902
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;201254
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;201779
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;202903
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;203427
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;204057
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;203984
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;203894
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;203850
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;203838
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;203800
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;203636
 ;Primorsko-notranjska;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;50544
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;50585
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;50760
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;50775
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;50913
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;51032
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;51173
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;51483
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;52083
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;51728
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;52217
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;52287
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;52387
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;52382
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;52449
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;52538
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;52523
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;52582
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;52334
 ;Goriška;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;120444
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;120314
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;120413
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;119938
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;119742
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;119622
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;119628
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;119477
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;120329
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;118533
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;119080
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;119146
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;119236
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;119002
