"";"Občina";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017"
"116";"Novo mesto";808,97;844,75;910,33;991,95;1021,45;1065,76;1084,32;1103,61;1116,34;1145,87;1138,56;1149,06;1173,36
"117";"Odranci";758,71;686,24;707,41;784,85;771,93;772,24;754,82;753,92;782,35;786,87;786,96;780,95;842,37
"118";"Oplotnica";642,59;660,1;713,91;768,7;778,87;787,74;755,8;760,24;776,16;788,63;797,75;789,99;816,94
"119";"Ormož";606,92;633,93;655,68;712,53;759,65;791,79;828,79;850,49;853,55;850,18;858,49;857,11;899,81
"120";"Osilnica";519,57;534,91;558,03;575,88;530,04;587,48;636,69;656,54;693,41;695,04;716,89;714,53;743,84
"121";"Pesnica";661,04;730,31;807,91;875,8;868,88;893,85;873,93;882,56;869,29;881,3;904,07;927,16;948
"122";"Piran/Pirano";724,61;755,37;813,08;862,98;908,52;939,52;957,92;943,01;925,57;923,1;920,28;929,73;946,86
"123";"Pivka";611;633,11;690,87;748,4;733,11;757,34;817,36;897,14;901,27;908,47;913,3;909,09;927,58
"124";"Podčetrtek";623,58;662,81;714,66;761,27;737,31;745,39;781,68;787,45;801,75;810,08;805,79;813,02;826,06
"125";"Podlehnik";693,53;750,29;792,59;856,13;920,71;961,9;964,22;963,28;985,38;986,89;1005,09;1061,49;1089,11
"126";"Podvelka";594,96;635,9;674,82;753,05;791,29;803,69;804,19;810,68;833,72;817,05;825,61;870,01;924,61
"127";"Poljčane";596,27;621,35;651,97;714,44;719,11;752,97;789,08;783,85;776,24;780,84;806,24;826,41;820,92
"128";"Polzela";544,71;565,05;594,62;670,95;697,89;726,34;751,34;771,89;797,97;796,09;811,39;828,6;855,28
"129";"Postojna";724,96;765,26;819,87;874,26;896,1;920,36;945,66;932,68;936,81;953,35;971,26;968,1;990,68
"130";"Prebold";663,24;684,86;728,65;739,55;742,64;811,39;837,41;831,8;854,23;850,14;869,14;874,4;919,03
"131";"Preddvor";639,2;673,54;728,59;777,73;813,02;857,41;866,51;871,83;866,98;883,99;890,14;925,36;959,68
"132";"Prevalje";664,85;662,58;720,4;761,41;788,34;822,44;842,15;855,61;885,01;884,75;890,49;922,51;965,52
"133";"Ptuj";654,17;692,07;749,37;805,63;835,94;863,43;864,11;850,69;857,63;859,9;875,29;906,64;931,53
"134";"Puconci";703,85;749,51;829,11;911,42;951,76;943,87;951,4;973,56;950,14;937,24;935,29;943,85;1000,19
"135";"Rače - Fram";696,96;702,61;733,27;798,26;812,52;861,77;857,54;838,97;845,09;854,38;838,97;858,64;881,82
"136";"Radeče";604,5;648,77;733,76;793,2;816,45;875,31;930,16;885,28;873,1;877,13;887,31;922,92;938,63
"137";"Radenci";689,67;737,36;791,96;832,08;847,04;873,72;896,86;907,49;897,34;899,79;910,43;923,74;958,99
"138";"Radlje ob Dravi";575,78;611,83;655,77;707,16;726,42;814,47;846,2;854,94;875,68;898,18;911,91;930,63;972,19
"139";"Radovljica";672,54;699,19;758,49;814,94;837,52;896,13;896,85;903,23;901,79;907,69;921,7;946,97;979,08
"140";"Ravne na Koroškem";722,27;746,31;780,73;851,97;877,4;929,76;972,27;984,89;991,59;1003,76;1031,78;1058,49;1092,96
"141";"Razkrižje";660,83;687,35;749,73;843,6;869,38;868,57;872,74;825,4;830,72;896,7;921,59;931,8;939,44
"142";"Rečica ob Savinji";607,01;609,7;586,32;601,89;652,31;701,12;726,46;726,43;733,98;724,01;731,26;758,66;783,52
"143";"Renče - Vogrsko";648,94;685,7;746,06;807,29;804,55;868,22;868,43;870,05;842,73;874,71;882,13;868,7;896,81
"144";"Ribnica";649,56;694,02;732,6;785,51;814,5;858,93;878,57;906,56;920,96;932,25;943,64;960,28;996,06
"145";"Ribnica na Pohorju";652,19;719,46;765,98;822,01;823,09;836,42;846,97;817,52;874,15;870,41;850,12;899,15;919,82
"146";"Rogaška Slatina";579,75;613,56;654,73;694,78;736,22;764,96;798,12;801,89;815,84;834,51;844,62;854,29;889,17
"147";"Rogašovci";691,11;738,52;777,5;812,9;832;852,17;869,99;892,08;888,45;860,02;844,12;844,93;866,28
"148";"Rogatec";581,11;638,44;660,21;697,66;728,47;785,86;781,92;772,6;777,66;766;783,06;800,68;828,67
"149";"Ruše";686,19;726,18;823,64;868;895,15;939,1;987,4;998,34;1018,62;1057,75;1093,51;1121,83;1159,77
"150";"Selnica ob Dravi";693,56;720,73;778,37;845,08;880,85;892,73;915,26;906,03;902,51;829,92;827,68;865,22;880,9
"151";"Semič";590,34;622,77;651,9;699,38;708,9;786,46;846,37;818,62;793,73;800,47;852,45;840,82;853,68
"152";"Sevnica";613,6;662,22;713,46;765,46;783,41;813,15;854,11;851,72;864,69;878,35;888,27;907,39;944,1
"153";"Sežana";708,9;743,41;797,15;878,94;897,32;922,75;941,43;933,72;923,56;934,48;929,81;957,46;984,87
"154";"Slovenj Gradec";660,65;695,18;747,37;805,75;848,91;900,39;932,61;934,72;934,02;941,92;952,22;971,76;1000
"155";"Slovenska Bistrica";694,56;727,33;825,13;846,49;856,83;916,48;930,33;937,91;962,09;955,4;954,8;973,84;1016,54
"156";"Slovenske Konjice";631,66;648,37;699,39;762,58;778,92;838,2;838,04;838,33;857,52;873,43;879,94;899,09;922,92
"157";"Sodražica";668,05;701,12;754,09;823,07;860,98;889,19;902,18;892,9;882,35;892,07;877,57;883,07;924,86
"158";"Solčava";630;685,86;746,46;817,74;795,42;840,7;843,3;975,46;918,04;900,45;921,6;917,95;930,91
"159";"Središče ob Dravi";621,83;692,4;836,58;897,09;1014,39;1038,83;1046,6;977,57;997,27;984,87;985,22;1001,53;976,17
"160";"Starše";724,84;739,42;785,12;814,71;780,48;729,86;652,55;711,33;702,33;852,21;842,13;863,08;872,03
"161";"Straža";563,7;602,15;670,77;714,32;718,57;743,48;1078,81;875,18;879,4;882,75;882,84;890,33;872,24
"162";"Sveta Ana";828,84;886,28;948,62;1003,12;1012,78;1028,72;992,25;966,82;934,69;869,95;941,6;950,15;960,31
"163";"Sveta Trojica v Slov. goricah";664,32;683,31;774,36;844,57;880,28;891,64;887,66;912;942,83;883,45;858,2;868,23;892,12
"164";"Sveti Andraž v Slov. goricah";673,83;697,64;809,63;870,99;912,02;897,56;867,77;857,96;935,2;956,42;930;892,05;869,49
"165";"Sveti Jurij ob Ščavnici";639,26;690,44;727;799,45;811,67;874,06;884,48;902,44;891,96;899,15;922,19;925,51;975,45
