"Dovoljenja za gradnjo stavb: število stavb, njihova gradbena velikost"
"in stanovanja v njih po: INVESTITOR, STATISTIÈNA REGIJA, TIP STAVBE,"
"LETO , MERITVE"

"Investitor";"Regija";"Tip objekta";"Leto";"Število stavb";"Površina stavb      [m2]"
"Investitor - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";" ";"2007";1037;621476
" ";" ";" ";"2008";879;449282
" ";" ";" ";"2009";786;321241
" ";" ";" ";"2010";558;373385
" ";" ";" ";"2011";532;155159
" ";" ";" ";"2012";521;133788
" ";" ";" ";"2013";598;212457
" ";" ";" ";"2014";501;138100
" ";" ";" ";"2015";404;107813
" ";" ";" ";"2016";616;158208
" ";" ";" ";"2017";587;190917
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";143;337725
" ";" ";" ";"2008";135;174995
" ";" ";" ";"2009";120;224513
" ";" ";" ";"2010";123;206377
" ";" ";" ";"2011";101;208982
" ";" ";" ";"2012";108;110440
" ";" ";" ";"2013";120;131232
" ";" ";" ";"2014";86;79603
" ";" ";" ";"2015";95;61182
" ";" ";" ";"2016";332;129562
" ";" ";" ";"2017";359;158825
" ";"Gorenjska"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";595;401129
" ";" ";" ";"2008";525;303135
" ";" ";" ";"2009";496;249415
" ";" ";" ";"2010";307;147495
" ";" ";" ";"2011";312;143862
" ";" ";" ";"2012";303;148549
" ";" ";" ";"2013";279;126338
" ";" ";" ";"2014";225;81936
" ";" ";" ";"2015";292;98817
" ";" ";" ";"2016";381;137200
" ";" ";" ";"2017";385;157651
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";485;216816
" ";" ";" ";"2008";421;175662
" ";" ";" ";"2009";414;154478
" ";" ";" ";"2010";232;96683
" ";" ";" ";"2011";242;74643
" ";" ";" ";"2012";246;93252
" ";" ";" ";"2013";222;65643
" ";" ";" ";"2014";184;49845
" ";" ";" ";"2015";219;57548
" ";" ";" ";"2016";218;70614
" ";" ";" ";"2017";229;61618
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";110;184313
" ";" ";" ";"2008";104;127473
" ";" ";" ";"2009";82;94937
" ";" ";" ";"2010";75;50812
" ";" ";" ";"2011";70;69219
" ";" ";" ";"2012";57;55297
" ";" ";" ";"2013";57;60695
" ";" ";" ";"2014";41;32091
" ";" ";" ";"2015";73;41269
" ";" ";" ";"2016";163;66586
" ";" ";" ";"2017";156;96033
" ";"Primorsko-notranjska"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";179;104408
" ";" ";" ";"2008";160;99690
" ";" ";" ";"2009";171;66010
" ";" ";" ";"2010";152;69626
" ";" ";" ";"2011";98;45415
" ";" ";" ";"2012";97;60716
" ";" ";" ";"2013";83;40231
" ";" ";" ";"2014";89;28661
" ";" ";" ";"2015";195;49423
" ";" ";" ";"2016";232;49965
" ";" ";" ";"2017";209;47660
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";128;68391
" ";" ";" ";"2008";116;33571
" ";" ";" ";"2009";129;38000
" ";" ";" ";"2010";122;40665
" ";" ";" ";"2011";71;17958
" ";" ";" ";"2012";74;21578
" ";" ";" ";"2013";54;14026
" ";" ";" ";"2014";53;12574
" ";" ";" ";"2015";82;22085
" ";" ";" ";"2016";65;16460
" ";" ";" ";"2017";52;12259
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";51;36017
" ";" ";" ";"2008";44;66119
" ";" ";" ";"2009";42;28010
" ";" ";" ";"2010";30;28961
" ";" ";" ";"2011";27;27457
" ";" ";" ";"2012";23;39138
" ";" ";" ";"2013";29;26205
" ";" ";" ";"2014";36;16087
